Key,Japanese,English,Traditional Chinese,Simplified chinese
Item.Pancake_Info,人気のある朝食料理。,人気のある朝食料理。,人気のある朝食料理。,人気のある朝食料理。
Item.Baguette,バゲット,バゲット,バゲット,バゲット
Item.Baguette_Info,棒状の形をしているパン。,棒状の形をしているパン。,棒状の形をしているパン。,棒状の形をしているパン。
Item.Hotdog,ホットドッグ,ホットドッグ,ホットドッグ,ホットドッグ
Item.Hotdog_Info,ソーセージを長いバンに挟んだファーストフード。,ソーセージを長いバンに挟んだファーストフード。,ソーセージを長いバンに挟んだファーストフード。,ソーセージを長いバンに挟んだファーストフード。
Item.Spegetti,スパゲッティ,スパゲッティ,スパゲッティ,スパゲッティ
Item.Spegetti_Info,,,,
Item.Omelette,オムライス,オムライス,オムライス,オムライス
Item.Omelette_Info,,,,
Item.SteakSet,ステーキ定食,ステーキ定食,ステーキ定食,ステーキ定食
Item.SteakSet_Info,ジューシーなステーキ肉と付け合わせを組み合わせた、満足感のある食事セット。,ジューシーなステーキ肉と付け合わせを組み合わせた、満足感のある食事セット。,ジューシーなステーキ肉と付け合わせを組み合わせた、満足感のある食事セット。,ジューシーなステーキ肉と付け合わせを組み合わせた、満足感のある食事セット。
Item.Sandwich,サンドイッチ,サンドイッチ,サンドイッチ,サンドイッチ
Item.Sandwich_Info,,,,
Item.Coffee,コーヒー,コーヒー,コーヒー,コーヒー
Item.Coffee_Info,,,,
Item.Tea,紅茶,紅茶,紅茶,紅茶
Item.Tea_Info,,,,
Item.Cola,コーラ,コーラ,コーラ,コーラ
Item.Cola_Info,,,,
Item.Parfait,パフェ,パフェ,パフェ,パフェ
Item.Parfait_Info,,,,
Item.M24,柄付手榴弾,柄付手榴弾,柄付手榴弾,柄付手榴弾
Item.M24_Info,手投げ弾を投げてダメージを与える。,手投げ弾を投げてダメージを与える。,手投げ弾を投げてダメージを与える。,手投げ弾を投げてダメージを与える。
Item.FirstAid,救急箱,救急箱,救急箱,救急箱
Item.FirstAid_Info,効果が不安定だが、緊急時には仕方ない。,効果が不安定だが、緊急時には仕方ない。,効果が不安定だが、緊急時には仕方ない。,効果が不安定だが、緊急時には仕方ない。
Ability,特殊技名とその説明文 (背景色でキャラを分ける),特殊技名とその説明文 (背景色でキャラを分ける),特殊技名とその説明文 (背景色でキャラを分ける),特殊技名とその説明文 (背景色でキャラを分ける)
Ability.DeepBreath,緊急回復,緊急回復,緊急回復,緊急回復
Ability.DeepBreath_Info,"自身のHPを回復
残りHPが少ないほど回復量が多くなる","自身のHPを回復
残りHPが少ないほど回復量が多くなる","自身のHPを回復
残りHPが少ないほど回復量が多くなる","自身のHPを回復
残りHPが少ないほど回復量が多くなる"
Ability.PowerfulPunch,パワフルパンチ,パワフルパンチ,パワフルパンチ,パワフルパンチ
Ability.PowerfulPunch_Info,"敵１体に普通攻撃の2.5倍ダメージを与える。
使用者がその後の1ターン行動不能になる","敵１体に普通攻撃の2.5倍ダメージを与える。
使用者がその後の1ターン行動不能になる","敵１体に普通攻撃の2.5倍ダメージを与える。
使用者がその後の1ターン行動不能になる","敵１体に普通攻撃の2.5倍ダメージを与える。
使用者がその後の1ターン行動不能になる"
Ability.Tackle,共倒れ,共倒れ,共倒れ,共倒れ
Ability.Tackle_Info,敵１体と共に1ターン行動不能になる,敵１体と共に1ターン行動不能になる,敵１体と共に1ターン行動不能になる,敵１体と共に1ターン行動不能になる
Ability.SuckingTentacle,吸収触手,吸収触手,吸収触手,吸収触手
Ability.SuckingTentacle_Info,"相手のSPを半分吸収する

女性相手ならHPも吸収する","相手のSPを半分吸収する

女性相手ならHPも吸収する","相手のSPを半分吸収する

女性相手ならHPも吸収する","相手のSPを半分吸収する

女性相手ならHPも吸収する"
Ability.TentacleService,触手サービス,触手サービス,触手サービス,触手サービス
Ability.TentacleService_Info,SPを全部味方に分け与える。(女性相手のみ有効),SPを全部味方に分け与える。(女性相手のみ有効),SPを全部味方に分け与える。(女性相手のみ有効),SPを全部味方に分け与える。(女性相手のみ有効)
Ability.Capture,媚薬ガス,媚薬ガス,媚薬ガス,媚薬ガス
Ability.Capture_Info,"敵１体の攻撃力・スピードを一時25%ダウン

女性相手なら防御力と攻撃力をダウンさせる","敵１体の攻撃力・スピードを一時25%ダウン

女性相手なら防御力と攻撃力をダウンさせる","敵１体の攻撃力・スピードを一時25%ダウン

女性相手なら防御力と攻撃力をダウンさせる","敵１体の攻撃力・スピードを一時25%ダウン

女性相手なら防御力と攻撃力をダウンさせる"
Ability.SelfRepair,自己修復,自己修復,自己修復,自己修復
Ability.SelfRepair_Info,35% HP 回復,35% HP 回復,35% HP 回復,35% HP 回復
Ability.SelfEnchant,自己改造,自己改造,自己改造,自己改造
Ability.SelfEnchant_Info,ランダムのバフを獲得する,ランダムのバフを獲得する,ランダムのバフを獲得する,ランダムのバフを獲得する
Ability.Booster,ブースト,ブースト,ブースト,ブースト
Ability.Booster_Info,攻撃力 15% アップ,攻撃力 15% アップ,攻撃力 15% アップ,攻撃力 15% アップ
Ability.HealAttack,エナジーレーザー,エナジーレーザー,エナジーレーザー,エナジーレーザー
Ability.HealAttack_Info,相手に30ダメージを与える,相手に30ダメージを与える,相手に30ダメージを与える,相手に30ダメージを与える
Ability.GreatRegen,ヒーリング,ヒーリング,ヒーリング,ヒーリング
Ability.GreatRegen_Info,HPとSPを回復。HPは持続的回復する,HPとSPを回復。HPは持続的回復する,HPとSPを回復。HPは持続的回復する,HPとSPを回復。HPは持続的回復する
Ability.Milk,ミルク補給,ミルク補給,ミルク補給,ミルク補給
Ability.Milk_Info,味方1体 HP 20~30 回復させる。,味方1体 HP 20~30 回復させる。,味方1体 HP 20~30 回復させる。,味方1体 HP 20~30 回復させる。
Ability.MilkCookie,特濃ミルク,特濃ミルク,特濃ミルク,特濃ミルク
Ability.MilkCookie_Info,行動不能以外のデバフをすべて解除する。,行動不能以外のデバフをすべて解除する。,行動不能以外のデバフをすべて解除する。,行動不能以外のデバフをすべて解除する。
Ability.MilkOverdrive,ミルク補給オーバードライブ,ミルク補給オーバードライブ,ミルク補給オーバードライブ,ミルク補給オーバードライブ
Ability.MilkOverdrive_Info,"過度にミルク搾って味方全員に分ける。
明穂以外の味方全員が全回復する。
使用後 ミルク補給 と ミルク補給オバードライブ が今回のバトルで使用不可となる。","過度にミルク搾って味方全員に分ける。
明穂以外の味方全員が全回復する。
使用後 ミルク補給 と ミルク補給オバードライブ が今回のバトルで使用不可となる。","過度にミルク搾って味方全員に分ける。
明穂以外の味方全員が全回復する。
使用後 ミルク補給 と ミルク補給オバードライブ が今回のバトルで使用不可となる。","過度にミルク搾って味方全員に分ける。
明穂以外の味方全員が全回復する。
使用後 ミルク補給 と ミルク補給オバードライブ が今回のバトルで使用不可となる。"
Ability.Overdrive,オーバードライブ,オーバードライブ,オーバードライブ,オーバードライブ
Ability.Overdrive_Info,"３ターン連続行動することができる。
その後３ターン行動不能となる。","３ターン連続行動することができる。
その後３ターン行動不能となる。","３ターン連続行動することができる。
その後３ターン行動不能となる。","３ターン連続行動することができる。
その後３ターン行動不能となる。"
Ability.QuickAttack,連撃,連撃,連撃,連撃
Ability.QuickAttack_Info,ランダム攻撃x3,ランダム攻撃x3,ランダム攻撃x3,ランダム攻撃x3
Ability.Fist,正拳突き,正拳突き,正拳突き,正拳突き
Ability.Fist_Info,ターンを消耗せずに敵単体を攻撃する。,ターンを消耗せずに敵単体を攻撃する。,ターンを消耗せずに敵単体を攻撃する。,ターンを消耗せずに敵単体を攻撃する。
Ability.Repel,反撃の意思,反撃の意思,反撃の意思,反撃の意思
Ability.Repel_Info,一定時間内、攻撃されるたびに自身の防御力の割合に基づく反射ダメージを与える,一定時間内、攻撃されるたびに自身の防御力の割合に基づく反射ダメージを与える,一定時間内、攻撃されるたびに自身の防御力の割合に基づく反射ダメージを与える,一定時間内、攻撃されるたびに自身の防御力の割合に基づく反射ダメージを与える
Ability.GuardUp,不動のオーラ,不動のオーラ,不動のオーラ,不動のオーラ
Ability.GuardUp_Info,2 ターン間防御力99アップ,2 ターン間防御力99アップ,2 ターン間防御力99アップ,2 ターン間防御力99アップ
Ability.GuardianAngel,不滅の加護,不滅の加護,不滅の加護,不滅の加護
Ability.GuardianAngel_Info,１ターンの間味方全員が受けるダメージを無効にする。,１ターンの間味方全員が受けるダメージを無効にする。,１ターンの間味方全員が受けるダメージを無効にする。,１ターンの間味方全員が受けるダメージを無効にする。
Ability.Hacking,ハッキング,ハッキング,ハッキング,ハッキング
Ability.Hacking_Info,"ターゲットをハッキングしてバトル終了までの間傀儡として操る。京への攻撃をすべて傀儡が代わりに受ける (機械類の敵のみ有効)
ターゲットとのレベル差と目標の残りHPが成功確率を左右する","ターゲットをハッキングしてバトル終了までの間傀儡として操る。京への攻撃をすべて傀儡が代わりに受ける (機械類の敵のみ有効)
ターゲットとのレベル差と目標の残りHPが成功確率を左右する","ターゲットをハッキングしてバトル終了までの間傀儡として操る。京への攻撃をすべて傀儡が代わりに受ける (機械類の敵のみ有効)
ターゲットとのレベル差と目標の残りHPが成功確率を左右する","ターゲットをハッキングしてバトル終了までの間傀儡として操る。京への攻撃をすべて傀儡が代わりに受ける (機械類の敵のみ有効)
ターゲットとのレベル差と目標の残りHPが成功確率を左右する"
Ability.SuicideAttack,自爆指示,自爆指示,自爆指示,自爆指示
Ability.SuicideAttack_Info,"ハッキングした傀儡を自爆攻撃を行わせる。
傀儡の残りHPがダメージとする。","ハッキングした傀儡を自爆攻撃を行わせる。
傀儡の残りHPがダメージとする。","ハッキングした傀儡を自爆攻撃を行わせる。
傀儡の残りHPがダメージとする。","ハッキングした傀儡を自爆攻撃を行わせる。
傀儡の残りHPがダメージとする。"
Ability.Suicide,自爆攻撃,自爆攻撃,自爆攻撃,自爆攻撃
Ability.Suicide_Info,"自爆攻撃を行う。
残りHPがダメージとする。","自爆攻撃を行う。
残りHPがダメージとする。","自爆攻撃を行う。
残りHPがダメージとする。","自爆攻撃を行う。
残りHPがダメージとする。"
Ability.Reprogram,リファクタリング,リファクタリング,リファクタリング,リファクタリング
Ability.Reprogram_Info,ターゲットのプログラムを再作成し、攻撃力と防御を上昇させる。(機械類の目標のみ有効),ターゲットのプログラムを再作成し、攻撃力と防御を上昇させる。(機械類の目標のみ有効),ターゲットのプログラムを再作成し、攻撃力と防御を上昇させる。(機械類の目標のみ有効),ターゲットのプログラムを再作成し、攻撃力と防御を上昇させる。(機械類の目標のみ有効)
Ability.EffeciencyBoost,システム修復,システム修復,システム修復,システム修復
Ability.EffeciencyBoost_Info,ターゲットのプログラムを最適化し、HPを回復させ、すぐに次の行動をとることができるようにする。(機械類の目標のみ有効),ターゲットのプログラムを最適化し、HPを回復させ、すぐに次の行動をとることができるようにする。(機械類の目標のみ有効),ターゲットのプログラムを最適化し、HPを回復させ、すぐに次の行動をとることができるようにする。(機械類の目標のみ有効),ターゲットのプログラムを最適化し、HPを回復させ、すぐに次の行動をとることができるようにする。(機械類の目標のみ有効)
Ability.DroneSupport,火力支援,火力支援,火力支援,火力支援
Ability.DroneSupport_Info,"アンドロイドを召喚する
最大同時2体を召喚できる","アンドロイドを召喚する
最大同時2体を召喚できる","アンドロイドを召喚する
最大同時2体を召喚できる","アンドロイドを召喚する
最大同時2体を召喚できる"
Ability.PowerMode,雷神之相,雷神之相,雷神之相,雷神之相
Ability.PowerMode_On,雷神之相 (入),雷神之相 (入),雷神之相 (入),雷神之相 (入)
Ability.PowerMode_Off,雷神之相 (切),雷神之相 (切),雷神之相 (切),雷神之相 (切)
Ability.PowerMode_Info,"有効にすると攻撃が70%アップ。
常時 20 ダメージ受ける。

スキルを有効・無効にするときターンを消耗しない","有効にすると攻撃が70%アップ。
常時 20 ダメージ受ける。

スキルを有効・無効にするときターンを消耗しない","有効にすると攻撃が70%アップ。
常時 20 ダメージ受ける。

スキルを有効・無効にするときターンを消耗しない","有効にすると攻撃が70%アップ。
常時 20 ダメージ受ける。

スキルを有効・無効にするときターンを消耗しない"
Ability.ChargeAttack,明鏡止水,明鏡止水,明鏡止水,明鏡止水
Ability.ChargeAttack_Info,"次の攻撃のために力を貯めて、攻撃力を150%上げる。
連続使用でバフを重ねることができる。","次の攻撃のために力を貯めて、攻撃力を150%上げる。
連続使用でバフを重ねることができる。","次の攻撃のために力を貯めて、攻撃力を150%上げる。
連続使用でバフを重ねることができる。","次の攻撃のために力を貯めて、攻撃力を150%上げる。
連続使用でバフを重ねることができる。"
Ability.Ultimate,絶命破斬,絶命破斬,絶命破斬,絶命破斬
Ability.Ultimate_Info,"敵１体に大量のダメージを与える。HPが少ないほどダメージが高くなる。
与えたダメージを吸収してHPを回復する。","敵１体に大量のダメージを与える。HPが少ないほどダメージが高くなる。
与えたダメージを吸収してHPを回復する。","敵１体に大量のダメージを与える。HPが少ないほどダメージが高くなる。
与えたダメージを吸収してHPを回復する。","敵１体に大量のダメージを与える。HPが少ないほどダメージが高くなる。
与えたダメージを吸収してHPを回復する。"
Ability.Stungun_Info,スタンガンでターゲットを1ターン行動不能にする。,スタンガンでターゲットを1ターン行動不能にする。,スタンガンでターゲットを1ターン行動不能にする。,スタンガンでターゲットを1ターン行動不能にする。
Ability.DivineShield,エナジーシールド,エナジーシールド,エナジーシールド,エナジーシールド
Ability.DivineShield_Info,次に受けたダメージを無効にする,次に受けたダメージを無効にする,次に受けたダメージを無効にする,次に受けたダメージを無効にする
Ability.DivineRapier,ディバインキャリバー,ディバインキャリバー,ディバインキャリバー,ディバインキャリバー
Ability.DivineRapier_Info,敵単体を攻撃し、防御力を極端まで低下させてそして無力化する。,敵単体を攻撃し、防御力を極端まで低下させてそして無力化する。,敵単体を攻撃し、防御力を極端まで低下させてそして無力化する。,敵単体を攻撃し、防御力を極端まで低下させてそして無力化する。
Ability.StunShield,トラップシールド,トラップシールド,トラップシールド,トラップシールド
Ability.StunShield_Info,次にエレナを攻撃するものは一時行動不能になる。,次にエレナを攻撃するものは一時行動不能になる。,次にエレナを攻撃するものは一時行動不能になる。,次にエレナを攻撃するものは一時行動不能になる。
HomeCharacter,ホーム台詞,ホーム台詞,ホーム台詞,ホーム台詞
HomeChar.No5_1-1,「こんにちは、何かご用はありますか？」,"「Hello, how can I help you?」",「您好，找我有什麼事嗎？」,「こんにちは、何かご用はありますか？」
HomeChar.No5_1-2,「ドクター、貴方の活躍を期待しています。」,"「Docter, we look forward to seeing you in action.」",「博士，我很期待你的活躍。」,「ドクター、貴方の活躍を期待しています。」
HomeChar.No5_1-3,「準備は万全です。いつでも出撃できます。」,「All set. We're ready to action.」,「已經準備就緒，隨時可以出撃。」,「準備は万全です。いつでも出撃できます。」
HomeChar.No5_1-4,「状況は非常に悪いです。聖核戦姫を何とかしないと...」,「The situation is very bad. We have to do something about the Seikaku Princess...」,「財團的情況非常糟糕。必須對聖核戦姫做點什麼...」,「状況は非常に悪いです。聖核戦姫を何とかしないと...」
HomeChar.No5_2-3,「オリジナルの研究開発は順調ですか？」,「How's the research of my 'original' doing?」,「オリジナルの研究開発は順調ですか？」,「オリジナルの研究開発は順調ですか？」
HomeChar.Akiho_2-1,「なんですか？おっぱい搾ってくれるんですか？」,「What is it? Are you going to squeeze my tits?」,「なんですか？おっぱい搾ってくれるんですか？」,「なんですか？おっぱい搾ってくれるんですか？」
HomeChar.Akiho_2-2,「どうせなら六花も一緒に…」,「Hope Rikka is here with me…」,「どうせなら六花も一緒に…」,「どうせなら六花も一緒に…」
HomeChar.Akiho_2-3,「おっぱいが張って来ちゃった…搾ってもらわなきゃ」,「My tits are getting so tight... I need to have them squeezed」,「おっぱいが張って来ちゃった…搾ってもらわなきゃ」,「おっぱいが張って来ちゃった…搾ってもらわなきゃ」
HomeChar.Akiho_2-4,「……？私のミルク飲みますか？」,「……? Want to drink my milk?」,「……？私のミルク飲みますか？」,「……？私のミルク飲みますか？」
HomeChar.No72_3-1,「こんにちは、何かご用はありますか？」,"「Hello, how can I help you?」",「こんにちは、何かご用はありますか？」,「こんにちは、何かご用はありますか？」
HomeChar.No72_3-2,「…そのデータは私の中に存在していません」,「…That data doesn't exist in my memory」,「…そのデータは私の中に存在していません」,「…そのデータは私の中に存在していません」
HomeChar.No72_3-3,「何かご命令ですか？」,「Any order?」,「何かご命令ですか？」,「何かご命令ですか？」
HomeChar.No72_3-4,「私に感情はプログラムされていません。他のクローンと同様です」,「I am not programmed with emotions. I am like any other clone.」,「私に感情はプログラムされていません。他のクローンと同様です」,「私に感情はプログラムされていません。他のクローンと同様です」
HomeChar.Erena_5-1,「愚かな私ですが、存分にお使いください」,"「I am a fool, but use me to your heart's content」",「愚かな私ですが、存分にお使いください」,「愚かな私ですが、存分にお使いください」
HomeChar.Erena_5-2,「聖核戦姫に聖月生徒会…今はただの殲滅対象に過ぎません」,"「The Seikaku Princess, and the Student Council behind them... now they are merely targets for annihilation.」",「聖核戦姫に聖月生徒会…今はただの殲滅対象に過ぎません」,「聖核戦姫に聖月生徒会…今はただの殲滅対象に過ぎません」
HomeChar.Erena_5-3,「そろそろご主人様にご奉仕する時間です」,「It's about time of the day to serve my master」,「そろそろご主人様にご奉仕する時間です」,「そろそろご主人様にご奉仕する時間です」
HomeChar.Erena_5-4,「那由多…？その話はちょっと…」,「Nayuta…? I wouldn't like to talk about that now…」,「那由多…？その話はちょっと…」,「那由多…？その話はちょっと…」
HomeChar.Kei_5-1,「暇だね…なんか楽しいことない？」,「I'm bored…Anything fun to do?」,「暇だね…なんか楽しいことない？」,「暇だね…なんか楽しいことない？」
HomeChar.Kei_5-2,「なんか用？実験なら付き合うよ」,「What's up? I'd like to be part of your experiment」,「なんか用？実験なら付き合うよ」,「なんか用？実験なら付き合うよ」
HomeChar.Kei_5-3,「…ちょっと精液欲しくなってきたかも」,「…I think I might be craving for semen」,「…ちょっと精液欲しくなってきたかも」,「…ちょっと精液欲しくなってきたかも」
HomeChar.Kei_5-4,「聖核戦姫狩りに行ってこようかな」,「I'm feeling like to hunt the Seikaku Princess」,「聖核戦姫狩りに行ってこようかな」,「聖核戦姫狩りに行ってこようかな」
HomeChar.Nayuta_F-1,「私の力…その全てを捧げます…♥」,「I'd happy to devote my power... all of it.…♥」,「私の力…その全てを捧げます…♥」,「私の力…その全てを捧げます…♥」
HomeChar.Nayuta_F-2,「聖核戦姫…私が一匹残らず捕獲します」,「The Seikaku Princess I will capture every last one of them」,「聖核戦姫…私が一匹残らず捕獲します」,「聖核戦姫…私が一匹残らず捕獲します」
HomeChar.Nayuta_F-3,「…弱者は強者に従うのみです」,「...the weak follow the strong. That's all I need to do」,「…弱者は強者に従うのみです」,「…弱者は強者に従うのみです」
WorldScene,ワールド画面台詞,WorldMap Dialogue,ワールド画面台詞,ワールド画面台詞
World.Chapter2-3,「今回の作戦には“笹谷 明穂”が必要です。急いで調教のほうを進みましょう。」,"「We need ""Sasaya Akiho"" for this mission. Let's hurry up and proceed with the training.」",「今回の作戦には“笹谷 明穂”が必要です。急いで調教のほうを進みましょう。」,「今回の作戦には“笹谷 明穂”が必要です。急いで調教のほうを進みましょう。」
World.Chapter3-3,「六花の調教は進んでますか？とっとと堕としちゃってください！」,「How is Rikka's training going? Just take her down already!」,「六花の調教は進んでますか？とっとと堕としちゃってください！」,「六花の調教は進んでますか？とっとと堕としちゃってください！」
World.Chapter5-3,「八雲那由多は強敵です。“清藤エレナ”を戦力に出来ればいいのですが…」,"「Yakumo Nayuta is a formidable opponent. I hope we can make use of Seidō Erena here...""」",「八雲那由多は強敵です。“清藤エレナ”を戦力に出来ればいいのですが…」,「八雲那由多は強敵です。“清藤エレナ”を戦力に出来ればいいのですが…」
World.Chapter6-1,「ついに我々が世界を征服する時です。戦力は万全にしておきましょう」,,,
BattleLog,戦闘ログ,Battlelog,戦闘ログ,戦闘ログ
BattleLog.Attack,{0}　の攻撃！,{0}'s attack!,{0}　の攻撃！,{0}　の攻撃！
BattleLog.Damage,{0}　に　{1}　のダメージを与えた！,Deals {1} damage to {0}!,{0}　に　{1}　のダメージを与えた！,{0}　に　{1}　のダメージを与えた！
BattleLog.HealHP,{0}　の HPが {1} 回復した！,{0}'s HP is healed by {1}!,{0}　の HPが {1} 回復した！,{0}　の HPが {1} 回復した！
BattleLog.HealSP,{0}　の SPが {1} 回復した！,{0}'s SP is healed by {1}!,{0}　の SPが {1} 回復した！,{0}　の SPが {1} 回復した！
BattleLog.MissAttack,{0}　に避けられた！,{0} evades the attack!,{0}　に避けられた！,{0}　に避けられた！
BattleLog.ItemSelf,{0}　が {1} を使った。,{0} uses {1}.,{0}　が {1} を使った。,{0}　が {1} を使った。
BattleLog.ItemSelfToSelf,{0}　が自分に {1} を使った。,{0} uses {1}.,{0}　が自分に {1} を使った。,{0}　が自分に {1} を使った。
BattleLog.ItemOther,{0}　が {1} に {2} を使った。,{0} uses {1} to {2}.,{0}　が {1} に {2} を使った。,{0}　が {1} に {2} を使った。
BattleLog.Idle,{0}　が待機する。,{0} idles.,{0}　が待機する。,{0}　が待機する。
BattleLog.IdleSP,{0}　が休憩をとった。SP　{1}　回復した。,{0} rested abit. SP is healed by {1}.,{0}　が休憩をとった。SP　{1}　回復した。,{0}　が休憩をとった。SP　{1}　回復した。
BattleLog.TankAttack,{0}　のビーム攻撃！,{0}'s beam attack!,{0}　のビーム攻撃！,{0}　のビーム攻撃！
BattleLog.StunStart,{0}　が行動不能となった！,{0} became incapable of action!,{0}　が行動不能となった！,{0}　が行動不能となった！
BattleLog.StunUpdate,{0}　はまだ動けない。,{0} is still stuck.,{0}　はまだ動けない。,{0}　はまだ動けない。
BattleLog.HurtStart,{0}　が怪我をした！,{0} was injured!,{0}　が怪我をした！,{0}　が怪我をした！
BattleLog.HurtUpdate,{0}　の怪我が痛む！　{1}　のダメージを受けた。,{0} injuries hurt!　{1} injuries hurt!,{0}　の怪我が痛む！　{1}　のダメージを受けた。,{0}　の怪我が痛む！　{1}　のダメージを受けた。
BattleLog.HurtEnd,{0}　の怪我が治った。,{0} injuries were healed.,{0}　の怪我が治った。,{0}　の怪我が治った。
BattleLog.HealStart,{0}　は継続的にHPを回復される。,{0} is continuously restored HP.,{0}　は継続的にHPを回復される。,{0}　は継続的にHPを回復される。
BattleLog.HealUpdate,{0}　の HP {1} 回復した。,{0} HP {1} recovered.,{0}　の HP {1} 回復した。,{0}　の HP {1} 回復した。
BattleLog.ShieldUpStart,{0}　の防御が固くなった。,{0} defenses have hardened.,{0}　の防御が固くなった。,{0}　の防御が固くなった。
BattleLog.ShieldDownStart,{0}　の防御が弱くなった。,{0} defense weakened.,{0}　の防御が弱くなった。,{0}　の防御が弱くなった。
BattleLog.AttackUpStart,{0}　の攻撃力が {1} 上がった！,{0}'s attack power was increased by {1}!,{0}　の攻撃力が {1} 上がった！,{0}　の攻撃力が {1} 上がった！
BattleLog.AttackDownStart,{0}　の攻撃力が {1} 下がった！,{0}'s attack power was reduced by {1}!,{0}　の攻撃力が {1} 下がった！,{0}　の攻撃力が {1} 下がった！
BattleLog.SpeedUpStart,{0}　の動きが {1} 速くなった。,{0} moved {1} faster.,{0}　の動きが {1} 速くなった。,{0}　の動きが {1} 速くなった。
BattleLog.SpeedDownStart,{0}　の動きが {1} 鈍くなった。,{0} movement {1} slowed down.,{0}　の動きが {1} 鈍くなった。,{0}　の動きが {1} 鈍くなった。
BattleLog.Disarm,{0}　は攻撃できなくなった,{0} can no longer attack,{0}　は攻撃できなくなった,{0}　は攻撃できなくなった
BattleLog.Stungun,{0}　から {1} を放つ！,{0} to {1}!,{0}　から {1} を放つ！,{0}　から {1} を放つ！
BattleLog.AbilityExecute,{0}　からの {1}！,{1} from {0},{0}　からの {1}！,{0}　からの {1}！
BattleLog.AbilityExecuteSelf,{0}　が{1}する。,{0} does {1}.,{0}　が{1}する。,{0}　が{1}する。
BattleLog.Tentacle,{0}　が触手を {1} に伸ばす<cspace=-0.18em>ーー</cspace>！,{0} extends its tentacles to {1} <cspace=-0.18em>ーー</cspace>!,{0}　が触手を {1} に伸ばす<cspace=-0.18em>ーー</cspace>！,{0}　が触手を {1} に伸ばす<cspace=-0.18em>ーー</cspace>！
BattleLog.NoEffect,効果はなかった。,There was no effect.,効果はなかった。,効果はなかった。
BattleLog.GiveSP,SP {0} を {1} に分け与えた！,SP {0} was shared with {1}!,SP {0} を {1} に分け与えた！,SP {0} を {1} に分け与えた！
BattleLog.SPDrain,{0}　のSP {1} 吸収した！ ,{0}’s SP {1} was absorbed!,{0}　のSP {1} 吸収した！ ,{0}　のSP {1} 吸収した！ 
BattleLog.HPDrain,{0}　のHP {1} 吸収した！,{0}'s HP {1} was absorbed!,{0}　のHP {1} 吸収した！,{0}　のHP {1} 吸収した！
BattleLog.Retire,{0}　が再起不能となった。,{0} is defeated.,{0}　が再起不能となった。,{0}　が再起不能となった。
BattleLog.Defeat,{0}　が再起不能となった。,{0} is defeated.,{0}　が再起不能となった。,{0}　が再起不能となった。
BattleLog.Hacking,{0}　がハッキングを挑む！成功確率は {1},{0} challenges the hack! Chance of success {1},{0}　がハッキングを挑む！成功確率は {1},{0}　がハッキングを挑む！成功確率は {1}
BattleLog.Hacking_Success,成功した！ {0}　が傀儡となった。,Success! {0} became a puppet.,成功した！ {0}　が傀儡となった。,成功した！ {0}　が傀儡となった。
BattleLog.Hacking_Fail,ハッキングが失敗した。,The hack failed.,ハッキングが失敗した。,ハッキングが失敗した。
BattleLog.Hacking_End,{0}　のシステム故障が直った。,{0} system failure was fixed.,{0}　のシステム故障が直った。,{0}　のシステム故障が直った。
BattleLog.Overdrive,{0}！ {1} がこれから{2}回連続行動する。,{0} {1} will now act {2} times in succession.,{0}！ {1} がこれから{2}回連続行動する。,{0}！ {1} がこれから{2}回連続行動する。
BattleLog.ContinueTurn,また{0}のターン！,Another {0} turn!,また{0}のターン！,また{0}のターン！
BattleLog.TeamHeal,仲間全員を全回復した！,All of his friends were restored to full health!,仲間全員を全回復した！,仲間全員を全回復した！
BattleLog.Usage,{0}　の　{1}！,{1} of {0},{0}　の　{1}！,{0}　の　{1}！
BattleLog.ShieldDownValue,{0}　の防御力が {1} 点下げた。,{0}'s defense was lowered by {1} point.,{0}　の防御力が {1} 点下げた。,{0}　の防御力が {1} 点下げた。
BattleLog.DivineShield,次のダメージを完全防御する！,Complete protection against the following damage!,次のダメージを完全防御する！,次のダメージを完全防御する！
BattleLog.StunShield,次に{0}を攻撃する者が反発されてしばらく行動不能となる,The next person to attack {0} will be repulsed and become incapable of action for a while.,次に{0}を攻撃する者が反発されてしばらく行動不能となる,次に{0}を攻撃する者が反発されてしばらく行動不能となる
BatteLog.Repel,{0}　の反撃！ {1} ダメージを跳ね返った,{0} counterattack! {1} bouncing back from the damage!,{0}　の反撃！ {1} ダメージを跳ね返った,{0}　の反撃！ {1} ダメージを跳ね返った
BattleLog.Suicide,{0}　が自爆する！{1} のダメージを与えた！,{0} self-destructs! {1} damage!,{0}　が自爆する！{1} のダメージを与えた！,{0}　が自爆する！{1} のダメージを与えた！
BattleLog.Reprogram,{0}　の攻撃力が{1}点増加。防御力{2}点増加。,{0} attack power increased by {1} points. Defense increased by {2} points.,{0}　の攻撃力が{1}点増加。防御力{2}点増加。,{0}　の攻撃力が{1}点増加。防御力{2}点増加。
BattleLog.PowerMode,雷神之相の代償！{0}が{1}ダメージを受けた。,The price of the thunder god no phase! {0} took {1} damage.,雷神之相の代償！{0}が{1}ダメージを受けた。,雷神之相の代償！{0}が{1}ダメージを受けた。
BattleLog.ChargeAttack,攻撃をチャージする ーー {0}ダメージをたくわえた ({1}スタック),Charge Attack - {0} Damage Stacks ({1} Stacks),攻撃をチャージする ーー {0}ダメージをたくわえた ({1}スタック),攻撃をチャージする ーー {0}ダメージをたくわえた ({1}スタック)
