DLC Story,Comment,Japanese
,,(許せませんっ…作戦が終わったら…この戦闘員…絶対に容赦しませんっ！)
,,
,,(………でも♥、今は私は下級戦闘員なのでっ♥、まずはこのおちんぽを射精させないとっ…♥)
,,
,Hisui story DLC3-5,
,,
,,ジュルルルッ♥、ジュポッ♥ジュポッ♥、ジュルルルッ♥、ズゾゾゾッ♥！！
,,
,,ジュポッ♥、ジュルルルッ♥、ジュゾゾゾゾッ！！！
,,
,H46号,「いぃーーーーーっ！ほらっ、早く出してくらさいっ♥」
,,
,戦闘員,「ぐうっ、クソッ、射精させられちまうっ……H46号出すぞっ！」
,,
,,そして戦闘員のチンポからH46号の口内に熱い精液が発射される。
,,
,Hisui story DLC,ドブッ、ビュルルルルルルッ！！
,,
,H46号,「ん゛ん～～～～ッ！？？げぼっ♥！？ゴボボッ♥！？」
,,
,,(っ、これが精液…っ！♥♥、どろどろして、き、気持ち悪いっ…！)
,,
,戦闘員,「オラッ、ちゃんと全部飲み干せっ！」
,,
,H46号,「い゛い～～～～ッ♥♥ゴキュッ、ゴクッ♥♥ズルルルルッ♥」
,,
,,H46号は精液を何とか飲み干す
,,
,Hisui story DLC3-9,(ううっ、…のどに張り付いて気持ち悪い……けど…味は悪くない…かも？)
,,
,戦闘員,「ふうっ、初めてのフェラ奉仕とは思えねえな…清楚なふりしてクソビッチだったか？」
,,
,,「まあいい成績つけといてやるよ…H46号95点っと…」
,,
,H46号,「キイィ――――ッ！ありがとうございますッ！」
,,
,,(やった！これで更に………そう！エレナ先輩の所へ…！)
,,
,Hisui story DLC　3-10,(………それに、思ったより戦闘員生活も楽しい……かも……？)
,,
,ヒスイ,(はっ……！？私っ……なにを考えて………！？)
,,
,,(ううっ……よくないですね…雰囲気にのまれかけました……)
,,
,,(……でも今はH46号ですから…もっと頑張って財団に奉仕する“演技”をして…！)
,,
,,(どんな手を使っても…たとえエッチな事でも…絶対に“任務”を遂行します！)
,,
,,
DLC1-3,,
,,
,,ヒスイが潜入してから1か月ほど-―――ヒスイは訓練施設の模範下級戦闘員となっていた
,,
,H46号,「…聞こえてますかダイヤさん！こちら下級戦闘員H46……じゃなくて…！」
,,
,ヒスイ,「……ええと……ヒスイ！ヒスイです！現在の状況ですが……」
,,
,,(…っ、一瞬とはいえ自分の名前を忘れるなんて…)
,,
,,(これ以上ここで戦闘員を演じるのは危険かもしれません…っ！、早く作戦を進めないと…)
,,
,,(ですが……まだエレナ先輩の居場所は掴めていません…やはり下級戦闘員だと限界が…)
,,
,,(………そのためにはもっと模範的な戦闘員として財団の為に働かないと……)
,,
,,その時、ヒスイの後ろに男戦闘員が現れる。
,,
,,(……！すみません、戦闘員が来たのでいったん切ります！)
,,
,,「おっ、模範的下級戦闘員H46号ちゃんじゃん！ちょうどよかった」
,,
,,「キィーーーーーーッ！何かご用でしょうか！？」
,,
,男戦闘員,「俺今ちょっと溜まっててさあ？軽く性処理の相手してくれない？」
,,
,,「き、キーーーッ！すみません、この後予定が…」
,,
,,「まあいいじゃねーか、俺らから言っといてやるから。」
,,
,,「そ、それなら…ではおチンポ失礼します！キーーーッ！」
,,
,暗転,暗転
,,
,,H46号は口で戦闘員の相手を終える。
,,
,戦闘員,「ふうっ、H46号ちゃんご苦労さん。」
,,
,H46号,「キィーーーッ！ご満足いただけたでしょうか！」
,,
,戦闘員,「あぁよかったよ…あ、そうだ！俺幹部怪人のエレナさんの所で働いてるんだけど…」
,,
,,(エレナ…エレナ先輩…！？)
,,
,戦闘員,「そこで一般市民向けのプロパガンダ映像取ってるんだけど…H46号ちゃんこういうの興味ない？」
,,
,,「キィーーーーーーッ！H46号、非常に興味があります！」
,,
,,「いいね！一般市民を逆レイプする女戦闘員役なんだけど…H46号ちゃんエロい体してるからぴったりだと思うよ」
,,
,,「あとエレナさんも撮影に来るから…下級戦闘員が上級幹部に近くで会えることなんてなかなかないよ。」
,,
,,(！…一般市民を逆レイプ…というのは気がかりですが……これはエレナ先輩に近づくチャンスです！)
,,
,戦闘員,「キィーーーーーーッ！ぜひ撮影に参加させてください！」
,,
,暗転,
,,
,風景(街中),財団撮影室
,,
,ヒスイ(敬礼)(戦闘員×３),(……とうとう撮影日ですね…予定通りなら今日ここにエレナ先輩が……！)
,,
,,(念のためダイヤさんにも連絡しておきましたが…)
,,
,,(……今日が正念場ですっ…絶対にエレナ先輩に会わないと！)
,,
,,その時大勢の戦闘員に囲まれて一人の女性が撮影室に入ってくる
,,
,???(エレナ変身黒影),「さて……今日はプロパガンダAVの撮影ですね。」
,,
,ヒスイ,「………………！！！」
,,
,エレナ,「では撮影に入りましょうか。下級戦闘員、これも財団の大事な任務ですので気を抜かないように。」
,,
,ヒスイ&戦闘員達,「「「キィーーーーーーッ！！！」」」
,,
,ヒスイ,(………やっぱり！エレナ先輩っ！)
,,
,,(それにあの格好……聖核戦姫に変身してる…！？)
,,
,,(っ……事情は分かりませんが………エレナ先輩はまだっ……)
,,
,,(………後は隙を見て近づけさえすれば…っ！)
,,
,エレナ,「……では撮影を始めましょうか。まずは街で一般市民を襲う下級戦闘員達のシーンですね。」
,,
,戦闘員達,「「「キィーーーーーーッ！」」」
,,
,ヒスイ,「き、キィーーーーーーッ！」
,,
,,(まずは怪しまれないように…もう少し、頑張りますっ！)
,,
,暗転,
,,
,ヒスイ,「きぃ、きぃーーーーーっ！つ、つかまえました～～～！」
,,
,男戦闘員,「ぐおおっ、く、くそおっ！」
,,
,ヒスイ,「ほ、ほら服をぬいでくださ～～い！今からあなたは女戦闘員に、れ、れいぷされちゃいま～～～す！」
,,
,,(～～～ああああっ！、死ぬほど恥ずかしいっ！！)
,,
,男戦闘員,「ううっ、俺には妻と子供がいるのにっ、こんな変態女に無理やり犯されるなんて…っ！！」
,,
,ヒスイ,(変態女って！私だってこんなことは…！)
,,
,,(ううっ…下腹部に男の人のが……スーツ越しに伝わってきます…)
,,
,ヒスイ,「はあっ♥、あなたの力じゃ♥、私には抵抗できませんからぁ…？」
,,
,,(っ、あと少しでエレナ先輩の所へ行けるんですっ…最期の踏ん張りどころっ…)
,,
,,「大人しく、あなたのっ、おちんぽっ♥、入れちゃいますよっ♥」
,,
,,(……はあっ、今からこれが……私の中に……)
,,
,,(パイズリは沢山してきましたけど…セックスまでするなんてっ……)
,,
,ヒスイ,「はっ♥、はっ♥……！？」
,,
,男戦闘員,「おい、いつまでマンコこすりつけて焦らしてんだ？とっとと本番シーンに移らねえと終わらねえだろうが。」
,,
,ヒスイ,「っ♥！、わ、わかってますっ！あなたは今からレイプされるんです…からっ♥！」
,,
,,そしてヒスイは意を決して自身の割れ目を棒の頂点へとあてがう
,,
,ヒスイ,(う～～～っ、私のはじめてがっ、こんな事に……っ♥！)
,,
,,(…でも、よく考えたら戦闘員スーツの上からだから…直接入ってるわけじゃない…はず！)
,,
,,(そう！これはセックスなんかじゃない！それなら……っ♥！)
,,
,,「はっ♥、はっ♥、じゃあ…入れます……よッ♥♥！」
,,
,,ずっぷうっ♥♥！！！
,,
,,「きゅううううっ～～～～～～～っっ♥♥！！」
,,
,,ヒスイは腰を下ろして戦闘員のチンポを自身の中へ迎え入れる。
,,
,ヒスイ,「はあっ♥、あっ♥、太いのっ♥、は、はいって…♥♥！」
,,
,戦闘員,「おいおい何生娘みたいな反応してんだ？それでもお前下級戦闘員か？」
,,
,ヒスイ,「んあっ♥、そうでしたっ♥、きぃーーーーーっ♥！私は……悪の戦闘員っ…ですっ♥！」
,,
,,(ううっ……最悪っ♥…だけど………)
,,
,H46号,「はあっ♥、はあっ♥、今からっ♥あなたの可哀そうなおちんぽっ♥、私のおマンコで搾り取っちゃいますっ♥！」
,,
,,そしてH46号は戦闘員の上で腰を振り始める。
,,
,,ヌルッ、パチュッ♥、パチュッ♥、パチュッ♥
,,
,H46号,「お゛おっ♥、お゛うっ♥、おお～～～～っ♥♥」
,,
,,(はあっ♥、はあっ♥、このおちんぽっ♥、奥まで届いて…初めてなのにっ…♥)
,,
,,(おマンコがじんじんしてっ♥、気持ちいいっ…うっ♥、これも全部……変な洗脳されたせいっ……♥)
,,
,,「はあっ♥、はあっ♥、おおっ♥、んあっ♥！」
,,
,,(はあっ♥、っ、こんな姿をエレナ先輩に見られたら……っ♥)
,,
,,(でもっ…これはスーツ越しだから…セックスじゃないっ……♥)
,,
,,(怪しまれないようにしっかり演技…しないとっ♥)
,,
,H46号,「はあっ♥、どうですかぁ♥、私の戦闘員おマンコっ♥」
,,
,,「もうっ、あなたの奥さんのじゃ満足…できないですねッ♥」
,,
,戦闘員,「ぐうっ、くそお！こんな奴にっ…」
,,
,H46号,「ふふっ♥、ええと…続きをしてほしかったらぁ♥、わかってますよねっ♥！」
,,
,戦闘員,「な、なんだっ？」
,,
,H46号,「あなたも……我々フォーレン財団の戦闘員になるといいなさいっ♥」
,,
,,「そうしたら…♥、毎日私達……女戦闘員とセックスし放題ですよ…♥」
,,
,戦闘員,「ううっ、しかし私には妻と娘が…っ！」
,,
,H46号,「キィーーーーッ！はいと言うまでやめてあげませんよッ♥、私は悪の女戦闘員なんですからっ♥！」
,,
,戦闘員,「そんなあっ！女戦闘員はなんて卑劣なんだっ！」
,,
,H46号,「ほらほらっ♥、はいと言うまでパコパコし続けますよっ！どうしますかぁ♥？」
,,
,戦闘員,「…わ、わかった！戦闘員になるッ！だから勘弁してくれっ！」
,,
,H46号,「ふふっ♥、よろしいっ♥！……では入隊のご褒美に……気持ちよく射精させてあげますっ♥」
,,
,戦闘員,「そ、そんなあっ！」
,,
,,そしてH46号は膣に力を入れ、戦闘員の射精を促すように激しく腰を動かしていく。
,,
,,パチュッ♥、パチュッ♥、パチュッ♥！
,,
,H46号,「はあっ♥、あっ♥、はあっ♥、んっ♥！」
,,
,,(んっ♥、おちんぽが良い所にあたって…気持ちいいっ…♥)
,,
,,(これが男戦闘員のちんぽ…♥、大きくて…強くて…普通に…好きになっちゃう…かも♥)
,,
,,(はあっ♥、作戦途中なのに…こんな事…だめだけど…でも……)
,,
,,(今は…“下級戦闘員H46号”だから……♥♥ちゃんとやらないと……♥)
,,
,,(平和のためなら…少しくらい“気持ち良くなっても”…♥、いいですよね…っ♥)
,,
,H46号,「はあっ♥、んっ♥、はやくっ♥、せいえきっ♥、だしてくださいっ♥」
,,
,,(あっ♥、あっ♥、これっ、わたしもっ♥、おなかが…っ♥)
,,
,,「んっ♥、そうしたらっ♥、ちゃんと財団の戦闘員になれますからっ…♥」
,,
,,パチュッ♥、パチュッ♥、パチュッ♥、パチュッ♥！
,,
,H46号,「はっ♥、あんっ♥、はっ♥、はっ♥…」
,,
,,「んっ♥、んん～～～～ッ♥♥、はあっ♥、はあっ♥」
,,
,戦闘員,「ぐうっ、で、出るっ」
,,
,,ドブッ、ビュルルルッルッ！
,,
,H46号,「んあっ♥おおっ♥！！」
,,
,,(あっ♥、これ…せいえきが…私のおマンコの中にっ……出されてる……っ♥！！)
,,
,,(スーツ越しに…♥、子宮の中まで叩きつけてきて…っ♥)
,,
,H46号,「んあっ♥、お゛おおっ♥おおっ♥んんっ～～～♥！！」
,,
,H46号,「はあっ♥、あっ♥、あはっ♥、沢山出ましたねっ♥」
,,
,,「おめでとうございま～す♥、これであなたも財団の戦闘員ですね…っ♥」
,,
,,「ふふっ♥、私と一緒に…♥、沢山悪い事しちゃいましょう…♥」
,,
,暗転,
,,
,ヒスイ,(うぅ～～～～っ、演技…とはいえ…あんな事を…っ♥)
,,
,戦闘員,「46号ちゃんいいねえ？初めてのAV撮影とは思えない演技だったよ。」
,,
,ヒスイ,「き、きぃーーーーーっ！お褒め頂きありがとうございます！」
,,
,戦闘員,「どう？この後スーツ脱いで生ハメセックスでも――――」
,,
,ヒスイ,(！、エレナ先輩があそこに…今なら…！)
,,
,,「キィ――――ッ！申し訳ありません！生ハメセックスをしたいのはやまやまですが、これより別の任務があるので…！」
,,
,暗転,
,,
,,ヒスイはエレナが一人でいる隙を見つけ、彼女の元へ駆けつける
,,
,ヒスイ,「っ、はあっ、はあっ、……」
,,
,エレナ,「………………」
,,
,ヒスイ,(……え、エレナ先輩…だよね？)
,,
,エレナ,「……？下級戦闘員が私に何の用でしょうか？」
,,
,ヒスイ,「…………………っ。」
,,
,,「私ですっ！エレナ先輩……っ！」
,,
,エレナ,「……………？下級戦闘員が一体何を言っているのですか？」
,,
,ヒスイ,「ヒスイですっ！西園寺ヒスイ……生徒会で貴女の書記をしていた…！」
,,
,エレナ,「…………！あぁ…なるほど。」
,,
,,「………思い出しました。ヒスイさんですね。」
,,
,ヒスイ,「…はい！やっぱり覚えていてくれたんですね…！」
,,
,エレナ,「ええ。貴女は昔健気に私に尽くしてくれましたからね。」
,,
,ヒスイ,「……エレナ先輩、貴女が財団の幹部なんて…本当は嘘ですよ…ね？」
,,
,,「何か作戦があって……！今も聖核戦姫に変身して…」
,,
,エレナ,「……ああ、コレですか」
,,
,,「コレは過去の私の“コスプレ”です。私はもう聖核戦姫には変身できないので。」
,,
,ヒスイ,「………え？」
,,
,エレナ,「やれやれ……昔から思っていましたが。貴女は本当に愚かで無能ですね。」
,,
,ヒスイ,「………なっ！？」
,,
,エレナ,「まあ、そのおかげでわざわざ探す手間が省けたのは良い事です。」
,,
,,その瞬間エレナから紫色の光が立ち昇り、彼女のからだを覆っていく
,,
,ヒスイ,「なんで…っ、う、うそ……」
,,
,エレナ,「………変身完了。さて、哀れで愚かな聖核戦姫には水槽の中に戻ってもらいましょう。」
,,
,,「抵抗は無駄ですので大人しく拘束されなさい。わかっていると思いますが…貴女程度の力では私には絶対勝てませんので」
,,
,ヒスイ,「…そ、そんな…っ」
,,
,エレナ,「…どうやら聖核戦姫に変身もしないようですね。では――――！？」
,,
,,ガッシャアアアアアンンン！！！
,,
,,エレナがヒスイに切りかかろうとした瞬間、天井を突き破り、何かが部屋に侵入してくる
,,
,エレナ,「――――！！」
,,
,ヒスイ,「………！ダイヤさん！」
,,
,ダイヤ,「見つけたぞ清藤エレナっ！！はあっ！！」
,,
,エレナ,「なっ――――！？」
,,
,エレナ(欠損),ダイヤが剣を翻すとエレナの手首が矛と共に切り落とされ宙に舞う
,,
,エレナ,「――――っ！」
,,
,ダイヤ,「私は聖核戦姫ダイヤモンド！清藤エレナ、貴様を聖核戦姫と平和への裏切りの罪により断罪する！」
,,
,,
,,
,,
,,ストーリーの間に挟まる短いストーリーみたいな感じ
,背景(廃墟),
,エレナ(欠損),「っ……………！戦闘員！侵入者を排除しなさい！」
,,
,ダイヤ,「無駄だッ――――！」
,,
,,ダイヤが剣を振るうとあっという間に部屋の中にいた戦闘員は地面に崩れ落ちる
,,
,エレナ,「……………！」
,,
,ダイヤ,「周辺は完全に制圧した。清藤エレナ、抵抗は無駄だ。」
,,
,エレナ,「………これは想定外ですね。」
,,
,ダイヤ,「……ご苦労だったヒスイ。おかげで清藤エレナを追い詰めることが出来た。」
,,
,ヒスイ,「はっ、はいっ……！」
,,
,,「………でも…流石に腕を切るのは…やりすぎじゃ……」
,,
,ダイヤ,「甘えたことを言うな。コイツは手加減して制圧できるような相手じゃない。」
,,
,ヒスイ,「っ、でも…操られているだけかもしれないですしっ！何か事情が…」
,,
,ダイヤ,「私情を挟むな！事情がどうあれ今はコイツは私達が倒すべき敵だ！」
,,
,ヒスイ,「…っ…そうですね。」
,,
,,「…清藤エレナ、貴様は捕虜として私達に付いてきてもらう。」
,,
,エレナ,「…………私がこのまま大人しく捕虜になるとでも……？」
,,
,,その瞬間、エレナの全身が脈動し、切られた腕の断面から肉が盛り上がる
,,
,エレナ,「ッ、ウ゛ッッ……ッ！アアアアッッ！」
,,
,ヒスイ,「え、エレナ先輩……？！」
,,
,ダイヤ,「……………！」
,,
,,そしてエレナの前身は赤く染まり、無数の触手がエレナの体から現れる
,,
,エレナ(怪人),「ア゛アアアアッッ…！アアッ！」
,,
,ヒスイ,「ひっ！？う、うそ……！」
,,
,エレナ,「……変身完了…いえ、こちらが本当の姿と言った方が正しいですね。」
,,
,ダイヤ,「…ッ、既に怪人になっていたか！」
,,
,エレナ,「ええ、元の体は既に失われてしまったので。この体は私の遺伝子と触手細胞を使って産み出されました。」
,,
,ヒスイ,「そ…んな…その体……」
,,
,エレナ,「ふふっ、素晴らしいでしょう？怪人となる事によって私はより美しく完璧な肉体を手に入れました♥」
,,
,,「さて、愚かな最後の聖核戦姫を仕留めましょうか♥…この力の前では聖核戦姫など取るに足りません。」
,,
,ダイヤ,「………チッ…最初に手ではなく首を切っておくべきだったな。」
,,
,,「―――――捕虜は無しだ。こうなった以上ここで仕留める！ヒスイ――――」
,,
,ヒスイ,「はっ…でも……え、エレナ…先輩？」
,,
,ダイヤ,「―――戦わないなら隅で大人しくしていろ！戦闘の邪魔だ！」
,,
,ヒスイ,「っ……なんでっ……！」
,,
,エレナ,「おや…？抵抗する気ですか？本気でこの私に勝てるとでも？」
,,
,ダイヤ,「当たり前だ。――――貴様はここで仕留めるッ！」
,,
,暗転,
,,
,,――――ダイヤとエレナの戦いが始まって数分後
,,
,エレナ,「―――このっ！ちょこまかと鬱陶しいっ！」
,,
,ダイヤ,「はあっ、はあっ、どうした？…それが圧倒的な怪人の力か？」
,,
,エレナ,「聖核戦姫風情がっ！怪人を愚弄するなど――――！」
,,
,ダイヤ,「はっ！パワーとスピードは私以上だが―――、脳の処理が追い付いていないなっ！」
,,
,エレナ,「逃げるだけしかできない聖核戦姫がっ！思い上がるな――――ぐうっ！？」
,,
,,エレナの体に矢が刺さり、触手の動きが一瞬止まる
,,
,ダイヤ,「――――！はあああっ！」
,,
,,その瞬間を逃さず、ダイヤはエレナの触手を数本切り落とす
,,
,エレナ,「ぐうううっ！？このっ、小娘がッ！！」
,,
,ヒスイ,「…はあっ、はあっ…私の矢は絶対に外れません…！」
,,
,ダイヤ,「……！よくやったヒスイ！」
,,
,ヒスイ,「私は……戦いますっ……聖核戦姫だからっ！」
,,
,,「エレナ先輩と言えど…今はもうただの怪人……覚悟は決めました！」
,,
,ダイヤ,「ヒスイは触手を狙え！！私が本体を斬る！」
,,
,ヒスイ,「はいっ！」
,,
,エレナ,「ぐうっ！聖核戦姫風情が調子に乗るなぁあッ！」
,,
,,しかしダイヤとヒスイは着実にエレナの触手を切り落としていく
,,
,ヒスイ,「諦めてくださいっ！聖核戦姫は負けませんっ！」
,,
,ダイヤ,「勝つのは私達だっ！はああッッ――――！！」
,,
,エレナ,「――――！」
,(フラッシュっぽいSE),
,ダイヤ,「はあっ――――！――――！？」
,,
,,ダイヤはエレナに向けていた剣を止め、後退する
,,
,ダイヤ,「……これは――――！？」
,,
,ヒスイ,「――？どうしたんですかダイヤさん！？」
,,
,ダイヤ,「――――！逃げろヒスイッ！ヤツがここに――――！」
,,
,,その瞬間、壁が破壊され、一直線にダイヤの方向へ何かが突っ込んでくる
,,
,,ガアアンッッ！！！
,,
,ヒスイ,「なっ――――！？」
,,
,ダイヤ,「ぐううっっっ！！」
,,
,那由多(シルエット→),「ふふっ…見つけました…♥」
,,
,,「強い聖核戦姫のエネルギーを感じて来たのですが…やはり貴女でしたね。」
,,
,,「おや…？後ろにももう一匹…！これは運がいいですね♥」
,,
,ダイヤ,「――――ッ！早く逃げろ！ここは私が食い止める！」
,,
,那由多,「おやおや？私から逃げられると思っているのですか？」
,,
,ダイヤ,「財団の犬に成り下がった裏切り者が――――！聖核戦姫を舐めるなッ！」
,,
,,戦闘開始
,,
,,戦闘終了
,Daiya story DLC 1-0,
,,戦闘が始まってから10分後――――
,,
,那由多,「ふう……やれやれ、弱いくせに無駄にしぶとかったですね…おかげでもう一匹を逃がしてしまいました。」
,,
,ダイヤ,「ゴフッ……ぐっ……わたし……は…負け…ない…」
,,
,,ダイヤは那由多とエレナに完膚なきまでに敗れ、既に半分意識を失っていた。
,,
,エレナ,「ハアッ……ハアッ……この女ッ！随分と手間をかけさせてくれましたね……！！」
,,
,,ギチッ、ギチギチッ…！
,,
,ダイヤ,「ごっ……カヒュッ………！」
,,
,エレナ,「私の美しい触手を何本も…ッ！このまま絞め殺してあげましょうか……！」
,,
,那由多,「エレナ、捕獲対象を殺すのは命令違反です。」
,,
,エレナ,「コレの扱いは私の好きにさせてもらいます！腹の虫がおさまりませんから…ッ！」
,,
,那由多,「…いえ、この聖核戦姫は私の管轄で引き取ります。」
,,
,エレナ,「…っ！何故ッ！これは私の獲物ですッ！」
,,
,那由多,「私が来なければ結構危なかったでしょう？その貸しだと思ってください。」
,,
,エレナ,「――――ッ！この程度の敵に私が負けるとでもッ！？」
,,
,那由多,「まあまあ、貴女も疲れているようですし…しばらく休んではどうです？」
,,
,,「せっかく怪人に変身したのですから、貴女のご主人様に可愛がってもらっては？」
,,
,,「繁殖して強い怪人を産むのも幹部の仕事ですから。私の方から頑張ってたから沢山可愛がってあげてと言っておきますよ？」
,,
,エレナ,「…………わかりました。提案を受け入れましょう。コレは貴女が持って行ってください。」
,,
,那由多,「ふふっ、ありがとうございます♥」
,,
,那由多,「――――さて、残りは一人ですね。」
,,
,,「ダイヤさん？貴女一人なら全力を出せば私から逃げ切れたかもしれないのに…冷静な貴女らしくないですね？」
,,
,,「あの小娘に何を期待しているのか知りませんが…最後のあがきを楽しませてもらいましょうか。」
,,
DLC2-1,,
,,
,,深夜、都市の路地裏にて
,,
,ヒスイ(変身),「はあっ…はあっ……ここまでくれば……。」
,,
,,「っ……ダイヤさん…私なんかをかばって……！」
,,
,,「いえ…あれだけ強いダイヤさんならきっと逃げ切って――――」
,,
,,その時、ヒスイは街中のモニターに映っている映像に気が付く
,,
,,
,,
,Daiya 1-1 ,
,ダイヤ,「ひうっ、ぎゅううううううっ！？」
,,
,那由多,「ふふっ♥、ダイヤさんもいい声で鳴くようになってきましたね」
,,
,ダイヤ,「ふざけるっ…なあっ！私はっ…貴様らの思い通りになどっ……！」
,,
,那由多,「貴女は強い聖核戦姫ですから…そう簡単に堕ちてもらっては困ります」
,,
,ダイヤ,「ひぎゅうっ！聖核戦姫の誇りにかけてっ…私は絶対に…負けないっ……！」
,,
,那由多,「ふふっ、頑張ってくださいね。さて………」
,,
,京,「え～聞いてるかな？逃げたもう一人の聖核戦姫“西園寺ヒスイ”ちゃん？」
,,
,,「ああ、心配しないでくれ。手足は逃げられないように空間転移させてるだけだよ」
,,
,,「ご覧の通り強くて誇り高いダイヤちゃんは完全に負けてしまったわけだが…」
,,
,,「……さて、仲間を見殺しにして逃げ伸びた君はこの後どうするのかな？」
,,
,,「早く出頭しないと無意味にダイヤちゃんを苦しめちゃうかもね？そのまま逃げるのならそれでもいいけど。」
,,
,ダイヤ,「ぐうっ、はあっ、はあっ…ヒスイっ…私は大丈夫……だっ！」
,,
,,「お前の…やるべきことを……ひぎっ！」
,,
,那由多,「……だそうです。健気な娘ですね？」
,,
,京,「そういうわけだから。私の期待通り動いてくれたまえ。」
,,
,,
,,
,ヒスイ,「………………ダイヤさんっ…！」
,,
,,「そんな………ひどい………っ」
,,
,,「いえ…彼らの思い通りになってはいけません……！」
,,
,,「……私に託してくれたダイヤさんのためにも……最期まで戦いますっ！」
,,
,暗転,
,,
,,清藤グループ秘密倉庫
,,
,ヒスイ(戦闘員(マスク)),「キィーーーーーーッ！というわけで上級幹部、エレナ様の命令のもと、パワードスーツを秘密裏に点検することとなりました！」
,,
,清藤グループ警備員,「そ、そうですか…ご苦労様です。」
,,
,ヒスイ,「キィーーーーーーッ！それでは鍵を開けてく…」
,,
,清藤グループ警備員,「おまちください！いくら戦闘員の方といえど簡単に開けるわけにはいきません！」
,,
,,「せめて何か上級幹部からの指令である事が証明できるものは…」
,,
,ヒスイ,(っ、そうでしたっ！…戦闘員の服を手に入れたから良いものの…あの時バタバタしてて結局エレナ先輩の指令という事を証明するものは持っていません…！)
,,
,,(ど、どうしましょう…！)
,,
,清藤グループ警備員,「…無いようでしたらセキュリティ上ここは通すことはできません」
,,
,ヒスイ,(～～～～～っ！ええい！)
,,
,暗転,
,Hisui story DLC3-12,
,,ヒスイは警備員の男の服を無理やり脱がせ、そのまま地面に押し倒す
,,
,警備員,「っ、な、何するんですかっ！？」
,,
,H46号,「キィーーーーーーッ！おっとすみません…体が勝手に…♥」
,,
,H46号,「はあっ♥、はあっ♥…どうやら話合いで証明するのは無理のようなので…こちらで証明させていただきます♥」
,,
,警備員,「はあ？何を言って――――」
,,
,Hisui story DLC 3-13,ジュルッ！！
,,
,警備員,「―――！？」
,,
,H46号,「キィーーーーーーッ！意外とおチンポおっきいですねぇ♥」
,,
,,(――――っ！……私、とっさにこんな……っ！？)
,,
,,「ちゅぽっ、ジュルルッ♥あなたもっ…財団の戦闘員の素質ありますよっ♥」
,,
,,(うっ…任務の為とはいえ……一般の男の人を押し倒して……！？)
,,
,警備員,「や、やめてください！私には妻と娘が…ッ！」
,,
,H46号,「キィーーーーーーッ！そんなこと今はどうでもいいですよねっ…♥」
,,
,,(こんな時にっ……おまんこがうずいて……っ♥我慢できない……っ♥)
,,
,,「早く私が財団の戦闘員だと認めてもらわなきゃいけないのでぇ…♥」
,,
,,(そうっ♥…これは平和のために必要なことだから…♥……しょうがないですっ♥)
,,
,警備員,「ぐっ、ううっ…しかし…！」
,,
,,「強情なセキュリティですねっ…♥」
,,
,,ジュルルッ♥、ジュポッ♥
,,
,H46号,「どうれすかぁ♥、財団で訓練したパイズリフェラ…♥」
,,
,,(…ううっ、ダイヤさんは今あんなことになってるのに…私はこんな破廉恥なっ♥)
,,
,,(でも……これをしないとダイヤさんを救えないんです…♥)
,,
,,ジュルルルッ♥、ズゾゾゾッ♥！！、ジュポッ♥、ジュポッ♥！
,,
,,(そうっ…本当はこんな事やりたくないけど…これは目的を達成するために“絶対必要な事”…♥)
,,
,,H46号は夢中で警備員のちんぽにむしゃぶりつく。
,,
,,ジュルルッ♥ジュプッ♥、ジュルルッ♥、ジュルルルッ♥！！
,,
,,「じゅるっ♥、れろおっ…♥ろうれすかぁ♥、私が戦闘員だとっ♥、理解できましたかぁ♥？」
,,
,,「それともっ♥、じゅるっ♥、れろっ♥、もっとやらなきゃ…ジュルルルッ♥…分からないですかぁ♥？」
,,
,警備員,「わ、わかった！分かりました！あなたが財団の戦闘員ってことは十分わかりました！」
,,
,,「ですので、もうやめてください！倉庫は開けますのでっ！」
,,
,,(やった！開けてもらえる…早くいかないと…！)
,,
,,(……………でもお……♥)
,,
,,ジュルルッ♥ジュプッ♥、ジュルルッ♥、ジュルッ♥、ズゾゾゾッッッ♥！
,,
,H46号,「じゅぷっ♥、らめれすっ♥、……ここまでやったんれすからっ♥」
,,
,警備員,「なあっ、そんなっ！」
,,
,H46号,「ふふっ♥私は悪の戦闘員なのれえっ……ジュポッ♥…射精するまれ…付き合ってもらいますよっ♥」
,,
,,ジュルルッ♥、ジュプッ♥、ジュルルッ♥、ジュルッ♥
,,
,,(…私は何を……戦闘員だと認めてもらって開けてもらえるんだから……こんなことやめていいはず……)
,,
,,(………いえ♥……今の私は聖核戦姫ではなく下級戦闘員H46号という“設定”ですから……)
,,
,,(H46号として最後まで振舞わないと…怪しまれちゃいますよね………っ♥)
,,
,警備員,「ぐうっ、や、やめてくださいっ！」
,,
,H46号,「ふふっ♥、やめませんっ♥、私を疑った罰ですっ♥」
,,
,,ジュルルッ♥、ジュルッ♥、チュプッ♥、ジュルルッ♥、ジュボボッ♥♥！！
,,
,,(んっ♥、男性戦闘員さん達に比べたら微妙だけどっ♥、久しぶりの…おちんぽっ♥、美味しいっ…♥)
,,
,,(夢中になっちゃう…はやくっ♥、精液もっ……欲しいっ……♥)
,,
,H46号,ジュルルッ♥、ジュルルッ♥、ジュポ♥、ジュポッ♥
,,
,警備員,「ううっ、で、出ますっ！」
,,
,Hisui story DLC 3-14,ドプッ、ドビュルルルルルッッ！！
,,
,H46号,「…………♥！！」
,,
