Key,Comment,Japanese,Japanese_Steam,English
Dialog.Chapter3-2-32,理事長,(まずいな…うむ、エレナ君は机の下に隠れていたまえ。私が何とかごまかそう),(まずいな…うむ、エレナ君は机の下に隠れていたまえ。私が何とかごまかそう),"(Not good...umm, Erena, go hide under the desk. I'll cover it up somehow.)"
,,,,
Dialog.Chapter3-2-33,エレナ,(……あなたに助けられるのは不本意ですが…っ、しかたありません),(……あなたに助けられるのは不本意ですが…っ、しかたありません),(......I'm unwilling to be helped by this creep... but..... I have no choice)
,,,,
Dialog.Chapter3-2-34,Erena　2ｰ2,エレナは水着のまま急いで机の下にもぐる,エレナは水着のまま急いで机の下にもぐる,Erena rushes to get under the desk in her swimsuit.
,,,,
Dialog.Chapter3-2-35,理事長,「理事長だ、入ってきたまえ」,「…入ってきたまえ」,"""It's the chairman. Come on in."""
,,,,
Dialog.Chapter3-2-36,女生徒,「…失礼します。今日はエレナ先輩はいらっしゃらないのですか？」,「…失礼します。貴方は…政治家の……？今日はエレナ先輩はいらっしゃらないのですか？」,"""...Excuse me. Is Erena-senpai not here today?"""
,,,,
Dialog.Chapter3-2-37,理事長,「ああ、エレナ君は体調が優れないようでな、今日は早めに帰って私が代わりに仕事をしていたのだ」,「ああ、先程まで彼女と話し合っていたのだが、今は席を外していてな。」,"""Oh, Erena, she's not feeling well, so she had to go home early today and I did some work for her instead."""
,,,,
Dialog.Chapter3-2-38,女生徒,「そうですか！ありがとうございます。」,「そうですか…。お疲れ様です。」,"""I see! Thank you."""
,,,,
Dialog.Chapter3-2-39,エレナ,(ううっ、後輩がすぐそこにいるのに！、こんな情けない恰好でっ！私は何をしているのですかっ！？),(ううっ、後輩がすぐそこにいるのに！、こんな情けない恰好でっ！私は何をしているのですかっ！？),"(Ugh, my juniors are right there! And I'm dressed like this! What am I doing?)"
,,,,
Dialog.Chapter3-2-40,理事長,「それで緊急の要件とは何かね？」,「それで緊急の要件とは何かね？」,"""So what are the immediate requirements?"""
,,,,
Dialog.Chapter3-2-41,女生徒,「エレナ先輩に伝えようと思っていたのですが…体調不良のエレナ先輩にお願いするのも心苦しいので今日は大丈夫です！」,「いえ、エレナ先輩に伝えようと思っていたのですが…席を外しているならしょうがないですね。」,"""I was going to tell Erena-senpai, but it pains me to ask you to do this for Erena-senpai, who is not feeling well, so it's okay for today!'"""
,,,,
Dialog.Chapter3-2-42,,その時、理事長が突然チャックを開き、エレナの前にチンポを突き出した,その時、政治家の男が突然チャックを開き、エレナの前にチンポを突き出した,"At that moment, the chairman suddenly opened his zipper and thrust his cock in front of Erena!"
,,,,
Dialog.Chapter3-2-43,エレナ,「ﾋｯ……！？、ンっ……、ン？！」,「ﾋｯ……！？、ンっ……、ン？！」,"""Hiccup ......! Hiccup ......, hiccup?"""
,,,,
Dialog.Chapter3-2-44,,(なっ！？コイツ本当に何考えて！？),(なっ！？コイツ本当に何考えて！？),(What? What is this guy really thinking?)
,,,,
Dialog.Chapter3-2-45,女生徒,「エレナ先輩も最近は忙しいみたいで家に帰れない日も多かったみたいですし…ゆっくり休んでほしいですね」,「エレナ先輩も最近は忙しいみたいで家に帰れない日も多かったみたいですし…ゆっくり休んでほしいですね」,"""Erena-senpai seems to be very busy these days, and there were many days when she couldn't go home...I hope she gets some rest."""
,,,,
Dialog.Chapter3-2-46,,(っ！、コイツの…これっ、すごいニオイがっ！、ううっ！？),(っ！、コイツの…これっ、すごいニオイがっ！、ううっ！？),(What? This... this... this thing smells amazing! Ugh!)
,,,,
Dialog.Chapter3-2-47,,(ありえないっ！、でもっ、机から出たらっ終わるっ、くううぅうううっ！！),(ありえないっ！、でもっ、机から出たらっ終わるっ、くううぅうううっ！！),"(Impossible! But, if I get out of my desk, it will be over, kuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu!!!)"
,,,,
Dialog.Chapter3-2-48,理事長,「ふむ…君はずいぶんエレナ君を尊敬しているようだね」,「ふむ…君はずいぶんエレナ君を尊敬しているようだね」,"""Well... you seem to have a lot of respect for Erena."""
,,,,
Dialog.Chapter3-2-49,女生徒,「はい！エレナ先輩は私の一番の憧れの人です！一見怖いですけど、かっこよくてすごく頼りになるんです！」,「はい！エレナ先輩は私の一番の憧れの人です！一見怖いですけど、かっこよくてすごく頼りになるんです！」,"""Yes! Erena-senpai is the person I admire the most! She may look scary at first glance, but she's cool and very dependable!"""
,,,,
Dialog.Chapter3-2-50,,突然理事長の手がエレナの頭をつかみ、自身のチンポをエレナの口に無理やり突っ込む,突然男の手がエレナの頭をつかみ、自身のチンポをエレナの口に無理やり突っ込む,"Suddenly, the chairman's hand grabs Erena's head and forcibly shoves his cock into her mouth."
,,,,
Dialog.Chapter3-2-51,エレナ,「ブチュッ！？グッ、んっ！……ーーーッ！？」,「ブチュッ！？グッ、んっ！……ーーーッ！？」,"""Butch! Gghh, hmmm! ......ooooo!"""
,,,,
Dialog.Chapter3-2-52,エレナ,(コイツ本当にっ！？、やめろっ！、うぐっ、臭いっ！),(コイツ本当にっ！？、やめろっ！、うぐっ、臭いっ！),"(Is this guy really? Stop it! Ugh, it stinks!)"
,,,,
Dialog.Chapter3-2-53,女生徒,「いつも真面目で責任感が強くて…私が一番尊敬している先輩です！」,「いつも真面目で責任感が強くて…私が一番尊敬している先輩です！」,"""He is always so serious and responsible...he is the senior I respect the most!"""
,,,,
Dialog.Chapter3-2-54,,理事長はエレナの頭を前後に揺らし、エレナの口で自身のチンポをしごき始める,政治家の男はエレナの頭を前後に揺らし、エレナの口で自身のチンポをしごき始める,"The chairman rocks Erena's head back and forth, and begins to suck his cock in Erena's mouth."
,,,,
Dialog.Chapter3-2-55,エレナ,「グッ、ジュルッ♥♥、ちゅぽっ♥、ちゅぽっ♥！」,「グッ、ジュルッ♥♥、ちゅぽっ♥、ちゅぽっ♥！」,"""Gggghh, julp ♥♥, chuppo ♥, chuppo ♥!"""
,,,,
Dialog.Chapter3-2-56,,(信じられないっ！コイツ、生徒の口でっ！？),(信じられないっ！コイツ、聖核戦姫の口でっ！？),"(I can't believe it! This guy, in the mouth of a student!)"
,,,,
Dialog.Chapter3-2-57,,(…っ、まずいっ！、コイツのから口を離すとその音でバレるっ！音を出さないようにしないと！),(…っ、まずいっ！、コイツのから口を離すとその音でバレるっ！音を出さないようにしないと！),"(...Oh, no! If I take my mouth off this guy, the sound will give me away! I have to keep it quiet!)"
,,,,
Dialog.Chapter3-2-58,,「……、フーーー、……、フーーー！」,「……、フーーー、……、フーーー！」,"""......, hooo, ......, hooo!"""
,,,,
Dialog.Chapter3-2-59,,(うっ、鼻呼吸するとッ、直接コイツのニオイがっ！？),(うっ、鼻呼吸するとッ、直接コイツのニオイがっ！？),"(Ugh, when I breathe through my nose, I can smell him directly!)"
,,,,
Dialog.Chapter3-2-60,理事長,「そうかそうか…私もエレナ君のことはよく知っているが本当に素晴らしい生徒だと感心するよ」,「そうかそうか…私もエレナ君のことはよく知っているが本当に素晴らしい聖核戦姫だと感心するよ」,"""Oh well...I know you well Erena, and I'm really impressed with what a great student you are.'"""
,,,,
Dialog.Chapter3-2-61,,(コイツッ！本当にいい加減にっ！),(コイツッ！本当にいい加減にっ！),(This guy! That's enough!)
,,,,
Dialog.Chapter3-2-62,,エレナは机の下から頭を掴まれながらも理事長を睨みつける,エレナは机の下から頭を掴まれながらも政治家の男を睨みつける,Erena stares at the chairman while her head is grabbed from under the desk
,,,,
Dialog.Chapter3-2-63,女生徒,「そうですよね！エレナ先輩も毎日の激務できっと疲れていたんだと思います…」,「そうですよね！エレナ先輩も毎日の激務できっと疲れていたんだと思います…」,"""I know! I'm sure Erena-senpai must have been exhausted from all the hard work she did every day..."""
,,,,
Dialog.Chapter3-2-64,,理事長のチンポの根元が膨れ上がり、熱く脈動する,政治家の男のチンポの根元が膨れ上がり、熱く脈動する,The base of the chairman's cock swells and pulsates hotly.
,,,,
Dialog.Chapter3-2-65,,(っ、コイツっ、まさかっ！？),(っ、コイツっ、まさかっ！？),"(This guy, no way!)"
,,,,
Dialog.Chapter3-2-66,,「では理事長先生、私はこれで失礼します！エレナ先輩の事よろしくお願いします！」,「では、私はこれで失礼します！エレナ先輩の事よろしくお願いします！」,"""Well then, chairman, I'll leave you to it! Please take care of Erena-senpai!"""
,,,,
Dialog.Chapter3-2-67,理事長,「ああっ、まかせてくれ。エレナ君のことは私が責任を持って面倒を見てやろうっ」,「ああっ、まかせてくれ。エレナ君のことは私が責任を持って面倒を見てやろうっ」,"""I'll take care of you, Erena. I will be responsible for taking care of Erena―kun."""
,,,,
Dialog.Chapter3-2-68,,どぴゅっ、ビュルルルルルッっ！,どぴゅっ、ビュルルルルルッっ！,
,,,,
Dialog.Chapter3-2-69,エレナ,「んんっ♥！？、んんんんっ～～～～！！！？」,「んんっ♥！？、んんんんっ～～～～！！！？」,"""Nnnn♥!!! Nnnnnn～～～～!!!?"""
,,,,
Dialog.Chapter3-2-70,,理事長のチンポから熱い精液の奔流がエレナの口内に注ぎ込まれる,政治家の男のチンポから熱い精液の奔流がエレナの口内に注ぎ込まれる,A torrent of hot semen pours into Erena's mouth from the chairman's cock.
,,,,
Dialog.Chapter3-2-71,,「んんっ♥！、ゴキュッ♥！？、けぷっ♥」,「んんっ♥！、ゴキュッ♥！？、けぷっ♥」,"""Nnnngggghhhh! Gokyuu♥! Gobble!"""
,,,,
Dialog.Chapter3-2-72,,(おええっ！？コイツ口の中にっ！？臭いっ！、気持ち悪いっ！！！),(おええっ！？コイツ口の中にっ！？臭いっ！、気持ち悪いっ！！！),"(Oh, no! He's in my mouth! It stinks! It's disgusting!)"
,,,,
,,,,
,,,,
Dialog.Chapter3-2-73,,(吐き出したいけどっ今やったらばれるっ！ああああっ！),(吐き出したいけどっ今やったらばれるっ！ああああっ！),"(I want to throw up, but if I do it now, I'll be found out! Aaahhh!)"
,,,,
Dialog.Chapter3-2-74,理事長,「……エレナ君、必死にしゃぶりついているところ悪いが後輩君はもう出て行ったよ。もうチンポを離しても大丈夫だ」,「……エレナ君、必死にしゃぶりついているところ悪いが後輩君はもう出て行ったよ。もうチンポを離しても大丈夫だ」,"""......Erena, I'm sorry you're sucking so hard, but your junior has already left. You can let go of my cock now."""
,,,,
Dialog.Chapter3-2-75,エレナ,「っ！、ちゅぱっ♥、けほっけほっ！最低っ！声が出せないのをいいことにこんな事を！」,「っ！、ちゅぱっ♥、けほっけほっ！最低っ！声が出せないのをいいことにこんな事を！」,"""I'm going to get it! I'm so happy! You're disgusting! You did this to me because I can't speak!"""
,,,,
Dialog.Chapter3-2-76,理事長,「まあまあ、私と君の仲じゃないか。それに君にもいい息抜きになっただろう？」,「まあまあ、私と君の仲じゃないか。それに君にもいい息抜きになっただろう？」,"""I'm sure you and I are good friends. Besides, it was a nice break for you, wasn't it?"""
,,,,
Dialog.Chapter3-2-77,エレナ,「～～～っ、とにかく、次こんな事やったら本当に容赦しませんよ！」,「～～～っ、とにかく、次こんな事やったら本当に容赦しませんよ！」,"""Anyway, if you ever do something like this again, I will really show no mercy!"""
,,,,
Dialog.Chapter3-2-78,理事長,「わかったわかった、今日はこれで終わりだ。新しいコスプレ衣装を渡すから明日もよろしく頼むよ」,「わかったわかった、今日はこれで終わりだ。新しいコスプレ衣装を渡すから明日もよろしく頼むよ」,"""I'll give you a new cosplay outfit and I'll look forward to seeing you tomorrow. I'll give you a new cosplay outfit, and I'll look forward to seeing you tomorrow."""
,,,,
Dialog.Chapter3-2-79,エレナ,「～～～～っ！、わかり…ました……！」,「～～～～っ！、わかり…ました……！」,"""I know...I know...I know...～～～～! I understand... yes, ......!"""
,,,,
Dialog.Chapter3-2-80,,(ううっ～～～！、一体いつまでこんな関係を続ければいいのですかっ！),(ううっ～～～！、一体いつまでこんな事を続ければいいのですかっ！),(Ugh~~! How long do I have to continue this kind of relationship?)
Chapter 3-3,注釈,,,
Dialog.Chapter3-3-1,,聖月生徒会執務室,ホーリーコア・レギオン司令部にて,Seigetsu Student Council Office
,Erena3－1,,,
Dialog.Chapter3-3-2,理事長,「おおっ！素晴らしい！まるで本物の牛のようだ！」,「おおっ！素晴らしい！まるで本物の牛のようだ！」,"""Oh, that's great! That's fantastic! They look like real cows!"""
,,,,
Dialog.Chapter3-3-3,エレナ,「～～～～誰が牛ですかっ！」,「～～～～誰が牛ですかっ！」,"""～～～～Who's the cow!"""
,,,,
Dialog.Chapter3-3-4,,エレナは毎晩の日課となった理事長とのコスプレ撮影をしていた,エレナは毎晩の日課となった政治家の男とのコスプレ撮影をしていた,Erena had a nightly routine of cosplay photo shoots with the chairman.
,,,,
Dialog.Chapter3-3-5,,「こんな下品な服を着せてっ！それでも教育者ですか？！」,「こんな下品な服を着せてっ！それでも為政者ですか？！」,"""You dress me up in such vulgar clothes! Are you still an educator?"""
,,,,
Dialog.Chapter3-3-6,理事長,「まあまあ、そう言うな。今日のコスはいつにもましてエレナ君に良く似合っているぞ？」,「まあまあ、そう言うな。今日のコスはいつにもましてエレナ君に良く似合っているぞ？」,"""I'm sure you'll be fine. Today's costume suits you better than ever, Erena, don't you think?"""
,,,,
Dialog.Chapter3-3-7,エレナ,「～～～早く終わらせてください！明日は大きな作戦の日なんですから！」,「～～～早く終わらせてください！明日は大きな作戦の日なんですから！」,"""~~~ Please get it over with! Because tomorrow is the big operation day!"""
,,,,
Dialog.Chapter3-3-8,理事長,「わかったわかった。ではすぐに撮ってしまおう！ほらもっと足を開いて！綺麗な割れ目を強調するように！」,「わかったわかった。ではすぐに撮ってしまおう！ほらもっと足を開いて！綺麗な割れ目を強調するように！」,"""I'll take a picture of it right away! Then let's take a picture right away! Come on, open your legs wider! Make sure you emphasize your beautiful crack!"""
,,,,
Dialog.Chapter3-3-9,エレナ,「くううっ！この変態っ！………これでいいですかっ！」,「くううっ！この変態っ！………これでいいですかっ！」,"""Kuuuh! You pervert! ......... is this okay!"""
,,,,
Dialog.Chapter3-3-10,理事長,「素晴らしい！やはり君には素晴らしい才能があるよ！」,「素晴らしい！やはり君には素晴らしい才能があるよ！」,"""I'm sure you have a great talent! I knew you had great talent!"""
,,,,
Dialog.Chapter3-3-11,エレナ,「こんなことで褒められても何も嬉しくありませんっ！早く終わらせてください！」,「こんなことで褒められても何も嬉しくありませんっ！早く終わらせてください！」,"""I'm not happy to be praised for this! Please finish this as soon as possible!"""
,,,,
Dialog.Chapter3-3-12,理事長,「もちろんだ！どんどん撮ってやるぞ！」,「もちろんだ！どんどん撮ってやるぞ！」,"""Of course! I'll keep on shooting!"""
,,,,
Dialog.Chapter3-3-13,,パシャッ！パシャッ！パシャッ！―――――,パシャッ！パシャッ！パシャッ！―――――,Pasha! Pasha! Pasha! ―――――
,,,,
Dialog.Chapter3-3-14,,――――一通りの撮影が終わった後,――――一通りの撮影が終わった後,―――― after the whole shoot is over.
,Erena　3－2,,,
Dialog.Chapter3-3-15,エレナ,「―――ッ、本当にするのですかっ！？(～～～今日も断れなかったっ！)」,「―――ッ、本当にするのですかっ！？(～～～今日も断れなかったっ！)」,"""――――, are you really going to do it? (I couldn't say no today!"""
,,,,
Dialog.Chapter3-3-16,理事長,「今更何を言っているのかね？最近はほぼ毎日やっているじゃないか」,「今更何を言っているのかね？最近はほぼ毎日やっているじゃないか」,"""What are you talking about now? You've been doing it almost every day lately."""
,,,,
Dialog.Chapter3-3-17,エレナ,「っ、そうですがっ！こんな破廉恥なことをっ！」,「っ、そうですがっ！こんな破廉恥なことをっ！」,"""Yes, that's right! Such a disgrace!"""
,,,,
Dialog.Chapter3-3-18,理事長,「御託はいい。とっととやってくれ。いつまでも帰れんぞ？」,「御託はいい。とっととやってくれ。いつまでも帰れんぞ？」,"""I don't care what you say. Get on with it. You can't go home forever."""
,,,,
Dialog.Chapter3-3-19,エレナ,「～～～っ！わかりましたっ！やればいいんでしょ！」,「～～～っ！わかりましたっ！やればいいんでしょ！」,"""I understand! I understand! You just do it!"""
,,,,
Dialog.Chapter3-3-20,,そう言うとエレナは理事長の巨大なチンポへ奉仕を始める,そう言うとエレナは政治家の男の巨大なチンポへ奉仕を始める,"With that said, Erena begins to service the chairman's huge cock."
,,,,
Dialog.Chapter3-3-21,,「はむぅ♥♥、ちゅるっ♥、れろっ♥、じゅぷっ♥」,「はむぅ♥♥、ちゅるっ♥、れろっ♥、じゅぷっ♥」,""""
,,,,
Dialog.Chapter3-3-22,理事長,「おおっ！、流石だエレナ君、ずいぶんフェラが上達したじゃないか」,「おおっ！、流石だエレナ君、ずいぶんフェラが上達したじゃないか」,"""Oh, that's great, Erena! You're doing a great job, Erena, you've really improved your blow job."""
,,,,
Dialog.Chapter3-3-23,エレナ,「れろっ♥、ちゅぶっ♥、ちゅぶっ♥、はあっ♥、それはどうもっ♥！」,「れろっ♥、ちゅぶっ♥、ちゅぶっ♥、はあっ♥、それはどうもっ♥！」,"""Rerroo♥, chubu♥, chubu♥, hahaha♥, how about that!"""
,,,,
Dialog.Chapter3-3-24,,「きのうっ♥、ちゅぷっ♥、ちゃんと洗ってきてとっ♥♥、ぐぷっ♥言ったじゃないですかっ♥！」,「きのうっ♥、ちゅぷっ♥、ちゃんと洗ってきてとっ♥♥、ぐぷっ♥言ったじゃないですかっ♥！」,"""I told you to go and wash it properly!"""
,,,,
Dialog.Chapter3-3-25,,「こんな臭いものをっ♥♥、生徒に処理させるなんてっ♥！、最低ですっ♥！」,「こんな臭いものをっ♥♥、令嬢である私に処理させるなんてっ♥！、最低ですっ♥！」,"""I can't believe I let my students handle such a stinky thing! It's disgusting!"""
,,,,
Dialog.Chapter3-3-26,理理事長,「ぐうっ、少々準備に時間がかかったものでね…っ、時間が取れなかったのだよっ」,「ぐうっ、少々準備に時間がかかったものでね…っ、時間が取れなかったのだよっ」,"""Ugh, it took me a little while to get ready... but I didn't have much time!"""
,,,,
Dialog.Chapter3-3-27,エレナ,「……？、ちゅぱっ♥、まったくっ♥、ぐぽっ♥♥、それでも大人ですかっ♥♥！」,「……？、ちゅぱっ♥、まったくっ♥、ぐぽっ♥♥、それでも大人ですかっ♥♥！」,"""I'm not sure if I'm an adult or not. I'm still an adult, right?"""
,,,,
Dialog.Chapter3-3-28,理事長,「おおっ凄いバキュームフェラだっ！しかし本当に上達したなエレナ君っ！さすがは清藤家の令嬢にして副会長のエリートだっ！」,「おおっ凄いバキュームフェラだっ！しかし本当に上達したなエレナ君っ！さすがは清藤家の令嬢にして副会長のエリートだっ！」,"""Oh, that's a great vacuum blowjob! But you've really improved, Erena! You are indeed the daughter of the Seidō family and the elite vice president!"""
,,,,
Dialog.Chapter3-3-29,エレナ,「ちゅぱっ♥、そんなわけっ！、じゅぱっ♥、とっとと終わらせるための、合理的な方法なだけですっ♥！、じゅぱっ♥」,「ちゅぱっ♥、そんなわけっ！、じゅぱっ♥、とっとと終わらせるための、合理的な方法なだけですっ♥！、じゅぱっ♥」,"""I'm just saying, ""Sssshhhh, that's not true! It's just a rational way to get it over with! Chupa―chupa!"""
,,,,
Dialog.Chapter3-3-30,,「明日は財団を殲滅するという大きな仕事があるのですっ♥！こんなことに時間を使っていられませんっ♥♥！」,「明日は財団を殲滅するという大きな仕事があるのですっ♥！こんなことに時間を使っていられませんっ♥♥！」,"""I have a big job tomorrow to destroy the foundation! I can't spend my time on this!"""
,,,,
Dialog.Chapter3-3-31,理事長,「おおっ！、もっと準備してからと思っていたがっ！想定外だっ！もう出すぞっ！」,「おおっ！、もっと準備してからと思っていたがっ！想定外だっ！もう出すぞっ！」,"""I thought I'd have more time to prepare! I thought I would be more prepared! I didn't expect this! Let's get this out of here!"""
,,,,
Dialog.Chapter3-3-32,エレナ,「じゅぱっ♥、なにを準備するのか分かりませんがっ♥♥、じゅぱっ♥、とっとと出してくださいっ♥♥！、これで終わりですっ♥♥！」,「じゅぱっ♥、なにを準備するのか分かりませんがっ♥♥、じゅぱっ♥、とっとと出してくださいっ♥♥！、これで終わりですっ♥♥！」,"""I don't know what you're preparing for, but please just take it out! That's it."""
,,,,
Dialog.Chapter3-3-33,理事長,「ああっ、これで終わりだっ、濃いのを出すぞっ！、しっかり飲み込めっ！」,「ああっ、これで終わりだっ、濃いのを出すぞっ！、しっかり飲み込めっ！」,"""Oh, that's it! That's it! I'm going to make it thick! Swallow it down!"""
,,,,
Dialog.Chapter3-3-34,エレナ,「ちゅぽっ♥、じゅぷっ♥ゴキュッ♥、ゴキュッ♥！？、ごぷっ！？、ゴキュッ♥」,「ちゅぽっ♥、じゅぷっ♥ゴキュッ♥、ゴキュッ♥！？、ごぷっ！？、ゴキュッ♥」,"""Chupo ♥, jupo ♥, gopu ♥, gopu ♥! Gopu♥, gopu♥, gopu♥! Gobble, gobble, gobble, gobble, gobble, gobble, gobble, gobble!"""
,,,,
Dialog.Chapter3-3-35,,「――――ゴキュッ♥、―――――ゴキュッ♥―――――！？ッ、！？ッ！！」,「――――ゴキュッ♥、―――――ゴキュッ♥―――――！？ッ、！？ッ！！」,"""―――― gokyuu♥, ――――― gokyuu ♥―――――! ♥! !!!!"""
,,,,
Dialog.Chapter3-3-36,,「けぽっ、な…に！？、これはっ！？体から力が抜けてっ！―――精液じゃっ…ないっ！？」,「けぽっ、な…に！？、これはっ！？体から力が抜けてっ！―――精液じゃっ…ないっ！？」,"""What is this? What is this? My body is weak! ―――It's not semen!"""
,,,,
Dialog.Chapter3-3-37,理事長,「ああ、これで終わりだといっただろう？」,「ああ、これで終わりだといっただろう？」,"""Yeah, you said this was the end, right?"""
,,,,
Dialog.Chapter3-3-38,エレナ,「これっ…っ♥、貴方っ、人間じゃ…ない…？、何者っ……？」,「これっ…っ♥、貴方っ、人間じゃ…ない…？、何者っ……？」,"""This... is... you... not... human...? What are you?"""
,,,,
Dialog.Chapter3-3-39,理事長,「おやおや、まだ気が付いていないのかね？まったく君は本当に滑稽でかわいいなぁ♥？」,「おやおや、まだ気が付いていないのかね？まったく君は本当に滑稽でかわいいなぁ♥？」,"""Oh dear, haven't you noticed yet? You're really funny and cute, aren't you?"""
,,,,
Dialog.Chapter3-3-40,エレナ,「………っ！、まさかっ貴様っ！」,「………っ！、まさかっ貴様っ！」,""".........! No way, you!"""
,,,,
Dialog.Chapter3-3-41,理事長,「ぐふふっ、ずいぶん前から入れ替わっていたよ。」,「ぐふふっ、ずいぶん前から入れ替わっていたよ。」,"""Gosh, we've been swapping places for a long time."""
,,,,
Dialog.Chapter3-3-42,エレナ,「………っ！！！、変身っ！聖核戦姫、コード：ゴールドッ！！！」,「………っ！！！、変身っ！聖核戦姫、コード：ゴールドッ！！！」,""".........! Transformation! Seikaku Princess, Code: Gold!"""
,生徒会室,,,
Dialog.Chapter3-3-43,エレナ,「―――ハアッ、ハアッ、ぐうっ！この私が……っ気づけなかった！？」,「―――ハアッ、ハアッ、ぐうっ！この私が……っ気づけなかった！？」,"""―――Hah, hah, geez! I'm the one who ...... didn't notice!"""
,,,,
Dialog.Chapter3-3-44,,理事長の体が溶け、中から無数の触手が現れる,政治家の男の体が溶け、中から無数の触手が現れる,"The chairman's body melts, and countless tentacles appear from within."
,,,,
Dialog.Chapter3-3-45,理事長/触手怪人,「グフフッ、私の特濃合成液をあれだけ飲んでまだ意識があるうえ変身までできるとは……。流石エレナ君だ！」,「グフフッ、私の特濃合成液をあれだけ飲んでまだ意識があるうえ変身までできるとは……。流石エレナ君だ！」,"""I'm not sure how much of my extra―concentrated synthetic fluid I've consumed and how I'm still conscious and able to transform. ...... That's just great, Erena!"""
,,,,
Dialog.Chapter3-3-46,,「だが、いつものような圧倒的なオーラは感じない。立っているだけでやっとなのではないかな？」,「だが、いつものような圧倒的なオーラは感じない。立っているだけでやっとなのではないかな？」,"""But I don't feel the same overwhelming aura as usual. I think he can barely stand up."""
,,,,
Dialog.Chapter3-3-47,,そして執務室の外から何人もの戦闘員が現れる,そして司令部の外から何人もの戦闘員が現れる,And a number of combatants emerge from outside the Oval Office.
,,,,
Dialog.Chapter3-3-48,,「これでお遊びは終わりだ。さあエレナ君、おとなしく我々に捕らえられたまえ！」,「これでお遊びは終わりだ。さあエレナ君、おとなしく我々に捕らえられたまえ！」,"""The game is over. Come on, Erena, be gentle and let us catch you!"""
,,,,
Dialog.Chapter3-3-49,エレナ,(体が動かないっ…意識がっ…それでもっ！),(体が動かないっ…意識がっ…それでもっ！),(I can't move my body...I'm not conscious...and yet!)
,,,,
Dialog.Chapter3-3-50,,「―――ッ！、ハァッ、ハァッ、私の不始末は私が責任を持って片付けますっ！！」,「―――ッ！、ハァッ、ハァッ、私の不始末は私が責任を持って片付けますっ！！」,"""――――! Huh, huh, huh, I'll take responsibility for cleaning up my mess!"""
,,,,
Dialog.Chapter3-3-51,,「生徒会長に学園を預かっている身っ！絶対に負けるわけにはいきませんっ！！」,「会長にホーリーコア・レギオン司令部を預かっている身っ！絶対に負けるわけにはいきませんっ！！」,"""I'm entrusting the school to the student council president! I can't lose!"""
,,,,
,,戦闘開始,戦闘開始,Commencement of combat
,,,,
,,戦闘終了,戦闘終了,the end of hostilities
,,,,
Dialog.Chapter3-3-52,エレナ,「ハアッ、ハアッ、ぐっ、…」,「ハアッ、ハアッ、ぐっ、…」,"""Hah, hah, ggh..."""
,,,,
Dialog.Chapter3-3-53,触手怪人,「諦めたまえエレナ君。君の負けだ！」,「諦めたまえエレナ君。君の負けだ！」,"""Give it up, Erena. You've lost!"""
,,,,
Dialog.Chapter3-3-54,エレナ,「ハアッ、ハアッ、ハアッ、私がっ、負ける…？」,「ハアッ、ハアッ、ハアッ、私がっ、負ける…？」,"""Haaah, haaah, haaah, I'm losing...?"""
,,,,
Dialog.Chapter3-3-55,,「ありえないっ！そんなことっ！、この私が財団ごときにっ！」,「ありえないっ！そんなことっ！、この私が財団ごときにっ！」,"""That's impossible! No way! I'm a member of a foundation!"""
,,,,
Dialog.Chapter3-3-56,触手怪人,「ぐふふっ、君が愚かだったおかげで全てが順調に進んだよ！さあこれで終わりだっ！」,「ぐふふっ、君が愚かだったおかげで全てが順調に進んだよ！さあこれで終わりだっ！」,"""Goof, thanks to your stupidity, everything is now in order! Now this is the end!"""
,,,,
Dialog.Chapter3-3-57,,怪人の無数の触手がエレナに絡みつき動きを封じる,怪人の無数の触手がエレナに絡みつき動きを封じる,"The monster's countless tentacles entangle Erena, blocking her movement."
,,,,
Dialog.Chapter3-3-58,エレナ,「ぐっ！、放せっ！、こんなっ、卑怯なっ！」,「ぐっ！、放せっ！、こんなっ、卑怯なっ！」,"""Gghh! Let go of me! Don't be a coward!"""
,,,,
Dialog.Chapter3-3-59,触手怪人,「ぐふふっ、エレナ君、君は最も無様な負け方をした聖核戦姫として記録されるだろう！さあくらえっ！」,「ぐふふっ、エレナ君、君は最も無様な負け方をした聖核戦姫として財団に記録されるだろう！さあくらえっ！」,"""Erena, you will go down in history as the most unceremoniously defeated Seikaku Princess! Come on, take that!"""
,,,,
Dialog.Chapter3-3-60,,触手怪人から媚薬ガスが放たれる,触手怪人から媚薬ガスが放たれる,Aphrodisiac gas is released from the tentacle monster.
,,,,
Dialog.Chapter3-3-61,エレナ,「ぐうぅっ！ああっ、ううううっ！私がッ、負けるはずがっ……！」,「ぐうぅっ！ああっ、ううううっ！私がッ、負けるはずがっ……！」,"""Aghhhh! Ahh, ugh, ugh! I couldn't lose. ......!"""
,,,,
Dialog.Chapter3-3-62,,(まずいっ…意識が……保て……),(まずいっ…意識が……保て……),(Oh no...stay ...... conscious ......)
,,,,
Dialog.Chapter3-3-63,触手怪人,「さあエレナ君、これで終わりだ。ゆっくり眠りたまえ」,「さあエレナ君、これで終わりだ。ゆっくり眠りたまえ」,"""Now, Erena, that's it. Sleep well."""
,,,,
