 ,Comment,Japanese,Japanese,English
Dialog.Chapter2-3-6,六花,「明穂っ！」,「明穂っ！」,"""Akiho!"""
,,,,
Dialog.Chapter2-3-7,明穂,「―――六花！」,「―――六花！」,"""Rikka!"""
,,,,
Dialog.Chapter2-3-8,六花,「よかった…無事で…」,「よかった…無事で…」,"""Thank God... you're safe..."""
,,,,
Dialog.Chapter2-3-9,明穂,「うん…六花なら助けに来てくれるって信じてた…。」,「うん…六花なら助けに来てくれるって信じてた…。」,"""Yes. I've never doubt that Rikka would come to my rescue..."""
,,,,
Dialog.Chapter2-3-10,六花,「早くここから逃げよう。背中につかまって。」,「早くここから逃げよう。背中につかまって。」,"""Let's get the hell out of here. Hold on to my back."""
,,,,
Dialog.Chapter2-3-11,,六花が明穂の拘束を解き、背中に背負って安堵した瞬間,六花が明穂の拘束を解き、背中に背負って安堵した瞬間,The moment Rikka released Akiho's restraints and was relieved to carry her on her back
,,,,
Dialog.Chapter2-3-12,,―――六花の首筋にチクリとした痛みが走る,―――六花の首筋にチクリとした痛みが走る,―――A prickle of pain runs down Rikka's neck.
,,,,
Dialog.Chapter2-3-13,六花,「――――――？っ！」,「――――――？っ！」,"""I'm going to go to ――――――? !"""
,,,,
Dialog.Chapter2-3-14,,六花の全身から力が抜け変身が解け、その場に座り込む,六花の全身から力が抜け変身が解け、その場に座り込む,"Rikka's entire body relaxes, her transformation is forced to released, and she sits down on the spot."
,,,,
Dialog.Chapter2-3-15,明穂,「うんっ。ちゃんと効いたね～！良かった！」,「うんっ。ちゃんと効いたね～！良かった！」,"""It worked! It worked properly~~ That's great!"""
,,,,
Dialog.Chapter2-3-16,六花,「――――っ、なん…でっ、明穂っ！？」,「――――っ、なん…でっ、明穂っ！？」,"""――――, what..., Akiho!?"""
,,,,
Dialog.Chapter2-3-17,明穂,「ごめんね六花。でもしょうがないの…」,「ごめんね六花。でもしょうがないの…」,"""I'm sorry Rikka. But I can't help it..."""
,,,,
Dialog.Chapter2-3-18,,明穂の体から赤紫のドロドロとした怪しい光が立ち上り、姿を変える,明穂の体から赤紫のドロドロとした怪しい光が立ち上り、姿を変える,A suspicious reddish-purple sludge light rises from Akiho's body and changes her form.
,,,,
Dialog.Chapter2-3-19,六花,「――――――っ、――明穂……なの？」,「――――――っ、――明穂……なの？」,"""――――――――.....are you.... Akiho.?"""
,,,,
Dialog.Chapter2-3-20,明穂,「ふふっ、そうだよ六花♥ちょっと見た目は変わっちゃったかもしれないけど♥」,「ふふっ、そうだよ六花♥ちょっと見た目は変わっちゃったかもしれないけど♥」,"""Rikka, I may have changed my appearance a little, but I'm still the same person."""
,,,,
Dialog.Chapter2-3-21,,明穂の髪は戦闘員のような白色に変わり、もともと大きめだった胸は肥大化して人間の体とは思えないほどになっている。,明穂の髪は戦闘員のような白色に変わり、もともと大きめだった胸は肥大化して人間の体とは思えないほどになっている。,"Akiho's hair turned white, and her originally large breasts have become so enlarged that they do not seem human."
,,,,
Dialog.Chapter2-3-22,,そして、その口元からはかつての親友がするはずのない淫猥で嗜虐的な笑みがこぼれていた。,そして、その口元からはかつての親友がするはずのない淫猥で嗜虐的な笑みがこぼれていた。,And her mouth was smiling an obscene and lecherous smile that she would never have done.
,,,,
Dialog.Chapter2-3-23,明穂,「六花は最初からここに来るように誘導されてたんだよ？流石に床を破ってくるとは思わなかったけど…」,「六花は最初からここに来るように誘導されてたんだよ？流石に床を破ってくるとは思わなかったけど…」,"""Rikka was led to come here from the beginning, you know? I didn't think you'd break through the quicksand floor like that, but..."""
,,,,
Dialog.Chapter2-3-24,,そして、物陰から何人もの財団の戦闘員と怪人が現れる。,そして、物陰から何人もの財団の戦闘員と怪人が現れる。,"Then, out of the shadows, a number of foundation fighters and monsters emerge."
,,,,
Dialog.Chapter2-3-25,,「私、財団に怪人に改造してもらって、今はこんな素敵な体にしてもらえたの♥六花も怪人になって私と一緒に気持ちよくなっちゃお？」,「私、財団に怪人に改造してもらって、今はこんな素敵な体にしてもらえたの♥六花も怪人になって私と一緒に気持ちよくなっちゃお？」,"""I was converted into a monster by the foundation, and now I have such a wonderful body."""
,,,,
Dialog.Chapter2-3-26,六花,「そ、んな…っ」,「そ、んな…っ」,"""Oh, no..."""
,,,,
Dialog.Chapter2-3-27,,「……許さないっ！――――――！」,「……許さないっ！――――――！」,"""I won't forgive ......! ――――――!"""
,,,,
Dialog.Chapter2-3-28,,力が入らず、朦朧とした意識の中、六花は気合で無理やり立ち上がる。,力が入らず、朦朧とした意識の中、六花は気合で無理やり立ち上がる。,"With no strength and in a daze of consciousness, Rikka forced herself to stand up with her spirit."
,,,,
Dialog.Chapter2-3-29,,「ハァ、ハァッ、明穂は…絶対取り戻すッ！変身っ！」,「ハァ、ハァッ、明穂は…絶対取り戻すッ！変身っ！」,"""Huh, huh, Akiho...I'll get you back! Transform!"""
,,,,
Dialog.Chapter2-3-30,明穂,「さすが六花！やっぱりクスリだけじゃ止められないよね。―――ちょっと痛いかもだけど我慢してね？」,「さすが六花！やっぱりクスリだけじゃ止められないよね。―――ちょっと痛いかもだけど我慢してね？」,"""Rikka, as expected! I knew drugs alone wouldn't stop you. ―――It might hurt a little bit, but you'll just have to bear with it, okay?"""
,,,,
,戦闘開始,,,
,,,,
,戦闘終了,,,
,,,,
Dialog.Chapter2-3-31,六花,「ハァッ、ハァッ、私はっ、負けな―――っっ」,「ハァッ、ハァッ、私はっ、負けな―――っっ」,"""Huh, huh, I'm not going to lose..."""
,,,,
Dialog.Chapter2-3-32,明穂,「おっと！」,「おっと！」,"""Oops!"""
,,,,
Dialog.Chapter2-3-33,,倒れる六花を明穂が受け止める,倒れる六花を明穂が受け止める,Akiho catches Rikka as she falls.
,,,,
Dialog.Chapter2-3-34,明穂,「ふふっ、六花負けちゃったね？諦めて私と一緒に楽になろう？」,「ふふっ、六花負けちゃったね？諦めて私と一緒に楽になろう？」,"""Rikka, you lost, didn't you? Why don't you just give up and get comfortable together with me?"""
,,,,
Dialog.Chapter2-3-35,六花,「……明穂…っ！目を覚まして…っ！」,「……明穂…っ！目を覚まして…っ！」,"""......Akiho...! Please wake up...!"""
,,,,
Dialog.Chapter2-3-36,明穂,「大丈夫だよ…堕ちるときは一緒に…ね？」,「大丈夫だよ…堕ちるときは一緒に…ね？」,"""Don't worry... Even in the dark we'll fall together... right?"""
,,,,
Dialog.Chapter2-3-37,,明穂が六花の頭を赤子をなだめるようにをなでると、強烈な眠気と安心感が六花を襲う,明穂が六花の頭を赤子をなだめるようにをなでると、強烈な眠気と安心感が六花を襲う,"When Akiho patted Rikka's head as if she were soothing a baby, a strong sense of sleepiness and relief overcame Rikka."
,,,,
Dialog.Chapter2-3-38,六花,「だめっ―――、あき…ほ…っ」,「だめっ―――、あき…ほ…っ」,"""No... aki... ho..."""
,,,,
Dialog.Chapter2-3-39,,「ぁ、―――」,「ぁ、―――」,"""uh..."""
,,,,
Dialog.Chapter2-3-40,,…………<br>………<br>……,…………<br>………<br>……,............<br>.........<br>......
,,,,
Dialog.Chapter2-3-41,,六花の意識はそこで途絶えた,六花の意識はそこで途絶えた,Rikka's consciousness ceased there.
,,,,
,報酬画面に入る,――――――,――――――,――――――
,突発イベント：,,,
Dialog.Chapter2-3-42,005号,「対象の沈黙を確認。作戦は成功です、このままオリジナル“水無瀬六花”を拘束し、アジトへ帰還します」,「対象の沈黙を確認。作戦は成功です、このままオリジナル“水無瀬六花”を拘束し、アジトへ帰還します」,"""The target's silence has been confirmed. The operation was a success. We will take the original ""Minase Rikka"" and return to the hideout."""
,,,,
Dialog.Chapter2-3-43,明穂,「みんなおつかれ～！六花は強いから心配してたけど、思ったより大したこと無かったね！」,「みんなおつかれ～！六花は強いから心配してたけど、思ったより大したこと無かったね！」,"""I was worried because Rikka is so strong, but it wasn't as big a deal as I thought!"""
,,,,
Dialog.Chapter2-3-44,005号,「対象をアジトへ移送し、完全に拘束するまでが本作戦です。まだ気を抜かないように。」,「対象をアジトへ移送し、完全に拘束するまでが本作戦です。まだ気を抜かないように。」,"""The operation will continue until the subject is transported to thehideout and taken into full custody. Do not let your guard down yet."""
,,,,
Dialog.Chapter2-3-45,明穂,「う～～、クローンちゃんも六花に似て真面目なんだから…後は帰るだけなんだし心配いらないよ！」,「う～～、クローンちゃんも六花に似て真面目なんだから…後は帰るだけなんだし心配いらないよ！」,"""Uh~~, Clone-chan is just as serious as Rikka... all we have to do now is go home, so don't worry!"""
,,,,
Dialog.Chapter2-3-46,,その時、周辺の監視をしていた戦闘員から連絡が入る,その時、周辺の監視をしていた戦闘員から連絡が入る,"At that moment, the fighters monitoring the perimeter make contact."
,,,,
Dialog.Chapter2-3-47,戦闘員,「六花捕獲班に告ぐっ！、作戦地点から6kmの距離で非常に強力な聖核戦姫と交戦中！」,「六花捕獲班に告ぐっ！、作戦地点から6kmの距離で非常に強力な聖核戦姫と交戦中！」,"""Attention Rikka Capture Team! We are engaged with a very powerful Seikaku Princess at a distance of 6 kilometers from the operation point!"""
,,,,
Dialog.Chapter2-3-48,戦闘員,「聖核戦姫はビル方向へ向かって移動している模様！こっちの部隊はまもなく全滅する！」,「聖核戦姫はビル方向へ向かって移動している模様！こっちの部隊はまもなく全滅する！」,"""The Seikaku Princess appears to be moving toward the building! Our troops will be annihilated soon!"""
,,,,
Dialog.Chapter2-3-49,005号,「……！？、監視班、対象の特徴を教えてください」,「……！？、監視班、対象の特徴を教えてください」,"""......! Surveillance team, please describe the subject."""
,,,,
Dialog.Chapter2-3-50,戦闘員,「金髪で…とにかく強すぎるっ！、並みの聖核戦姫じゃねえっ――ぐぁっ――――」,「金髪で…とにかく強すぎるっ！、並みの聖核戦姫じゃねえっ――ぐぁっ――――」,"""She's blonde...and too strong! She's no ordinary Seikaku Princess――gasp――――"""
,,,,
Dialog.Chapter2-3-51,,ピ―――――――,ピ―――――――,Pi―――――――
,,,,
Dialog.Chapter2-3-52,005号,「………作戦を変更します。今から部隊を二つに分け、一つは六花移送部隊。もう一つは足止め部隊です。」,「………作戦を変更します。今から部隊を二つに分け、一つは六花移送部隊。もう一つは足止め部隊です。」,"""......... I am going to revert the operation plan. From now on, we will split the force into two. One will be the Rikka transport force. The other is a stall force."""
,,,,
Dialog.Chapter2-3-53,005号,「笹谷明穂は数名の戦闘員と共に水無瀬六花を連れてアジトへ帰還してください。それ以外の戦闘員は私と共にここで時間を稼ぎます。」,「笹谷明穂は数名の戦闘員と共に水無瀬六花を連れてアジトへ帰還してください。それ以外の戦闘員は私と共にここで時間を稼ぎます。」,"""Sasaya Akiho, please return to the hideout with a few fighters and take Minase Rikka with you. The rest of the fighters will stay here with me to buy time."""
,,,,
Dialog.Chapter2-3-54,明穂,「…っ！分かった。じゃあ行くねっ！」,「…っ！分かった。じゃあ行くねっ！」,"""Okay, I'll go then!"""
,,,,
Dialog.Chapter2-3-55,戦闘員,「報告っ！既に対象が1kmの位置に接近！到着まであと30秒！」,「報告っ！既に対象が1kmの位置に接近！到着まであと30秒！」,"""Report! Subject already approaching 1km position! 30 seconds to arrival!"""
,,,,
Dialog.Chapter2-3-56,005号,「了解しました。総員戦闘準備！ビル前の道路で敵を足止めします！」,「了解しました。総員戦闘準備！ビル前の道路で敵を足止めします！」,"""Copy that. All personnel prepare for battle! We'll hold the enemy back on the road in front of the building!"""
,,,,
Dialog.Chapter2-3-57,暗転,――――――,――――――,――――――
,,,,
,,戦闘開始,戦闘開始,
,,負けイベ,負けイベ,
,,戦闘終了,戦闘終了,
,,,,
Dialog.Chapter2-3-58,???(エレナ黒),「―――やれやれ、1分もかかりませんでしたね。」,「―――やれやれ、1分もかかりませんでしたね。」,"""――― Oh dear, that took less than a minute."""
,,,,
Dialog.Chapter2-3-59,戦闘員,「………バケモノめっ、…ガハッ」,「………バケモノめっ、…ガハッ」,"""......... you monster, ...gah!"""
,,,,
Dialog.Chapter2-3-60,エレナ,「バケモノとは心外です。私は清藤エレナ、聖月女学園のNo2です。知らずに戦いを挑んだのですか？」,「バケモノとは心外です。私は清藤エレナ、聖月女学園のNo2です。知らずに戦いを挑んだのですか？」,"""I'm sorry to be called a monster. I am Seidō Erena, No. 2 of Seigetsu Girl Academy. Did you challenge me to a fight without knowing it?"""
,,,,
Dialog.Chapter2-3-61,エレナ,「まあいいでしょう。さて、六花さんの所へ行きましょうか。」,「まあいいでしょう。さて、六花さんの所へ行きましょうか。」,"""Well, that's all right. Now let's go to Rikka―san's."""
,,,,
Dialog.Chapter2-3-62,,「そこの戦闘員。水無瀬六花と笹谷明穂がどこにいるのか教えなさい。5秒以内に言わなければ―――」,「そこの戦闘員。水無瀬六花と笹谷明穂がどこにいるのか教えなさい。5秒以内に言わなければ―――」,"""Tell me where Minase Rikka and Sasaya Akiho are. Tell me where Minase Rikka and Sasaya Akiho are if you don't tell me within five seconds..."""
,,,,
Dialog.Chapter2-3-63,戦闘員,「ひいっ！言うっ、言います！水無瀬六花はこのビルの最上階にいてっ、さっきまで俺達と戦闘をっ」,「ひいっ！言うっ、言います！水無瀬六花はこのビルの最上階にいてっ、さっきまで俺達と戦闘をっ」,"""I'll say it! Minase Rikka is on the top floor of this building! Minase Rikka is on the top floor of this building, and she was fighting with us just now!"""
,,,,
Dialog.Chapter2-3-64,,ドシュッ！という音と共にエレナはビルの最上階の高度まで飛び上がり、そのままガラスを破壊して中に入る,ドシュッ！という音と共にエレナはビルの最上階の高度まで飛び上がり、そのままガラスを破壊して中に入る,"With a thud, Erena jumped to the top floor of the building, smashing the glass and entering! Erena jumps up to the altitude of the top floor of the building, smashes the glass, and enters the building."
,,,,
Dialog.Chapter2-3-65,六花？,「……！エレナ先輩っ！？」,「……！エレナ先輩っ！？」,"""......! Erena senior!"""
,,,,
Dialog.Chapter2-3-66,エレナ,「……ああ六花さん、無事でしたか。」,「……ああ六花さん、無事でしたか。」,"""...... Oh Rikka―san, are you all right?"""
,,,,
Dialog.Chapter2-3-67,,ビルの最上階には制服の水無瀬六花が後ろ手に手錠をかけられたまま一人横たわっていた,ビルの最上階には制服の水無瀬六花が後ろ手に手錠をかけられたまま一人横たわっていた,"On the top floor of the building, a uniformed Minase Rikka was lying alone, handcuffed behind her back."
,,,,
Dialog.Chapter2-3-68,エレナ,「…どういう状況か詳しく説明をお願いします。」,「…どういう状況か詳しく説明をお願いします。」,"""...Could you please elaborate on what the situation is?"""
,,,,
Dialog.Chapter2-3-69,六花？,「っ、はいっ！……それはかくかくしかじかで―――」,「っ、はいっ！……それはかくかくしかじかで―――」,"""I'll tell you what! ...... it's a matter of kakka kakka―――"""
,,,,
Dialog.Chapter2-3-70,六花？,「―――明穂を見つけたものの…逃がしてしまいました…っ」,「―――明穂を見つけたものの…逃がしてしまいました…っ」,"""―――I found Akiho... but I let him go..."""
,,,,
Dialog.Chapter2-3-71,エレナ,「………そうですか。はあ…、しかし薬を打たれたからとはいえ、この程度の敵にすら逃げられるとは…。」,「………そうですか。はあ…、しかし薬を打たれたからとはいえ、この程度の敵にすら逃げられるとは…。」,"""......... I see. Huh...but even though I was drugged, I didn't think I could escape even an enemy of this caliber..."""
,,,,
Dialog.Chapter2-3-72,,「あなたにはもっと期待していたのですが。残念です」,「あなたにはもっと期待していたのですが。残念です」,"""I expected more from you. It's a shame."""
,,,,
Dialog.Chapter2-3-73,エレナ,「そして脅されていたとはいえ、生徒会に報告することなく勝手な行動をしたのも問題です。」,「そして脅されていたとはいえ、司令部に報告することなく勝手な行動をしたのも問題です。」,"""And even though he was threatened, the fact that he acted on his own without informing the student council is also problematic."""
,,,,
Dialog.Chapter2-3-74,六花？,「っ、申し訳ありません……。」,「っ、申し訳ありません……。」,"""I'm sorry. ......."""
,,,,
Dialog.Chapter2-3-75,エレナ,「……。まあ、あなたの処分は明日生徒会で検討するとして…。」,「……。まあ、あなたの処分は明日司令部で検討するとして…。」,"""....... Well, your punishment will be considered by the student council tomorrow..."""
,,,,
Dialog.Chapter2-3-76,エレナ,「私が財団の危険性を過小評価していたのも事実です。」,「私が財団の危険性を過小評価していたのも事実です。」,"""It is also true that I underestimated the dangers of the Foundation."""
,,,,
Dialog.Chapter2-3-77,,「ここからは聖月生徒会がこの誘拐事件を担当します。明穂さんを奪還し、この際ついでに財団も完全に壊滅させてしまいましょう。」,「ここからはホーリーコア・レギオン司令部がこの誘拐事件を担当します。明穂さんを奪還し、この際ついでに財団も完全に壊滅させてしまいましょう。」,"""The Seigetsu Student Council will be in charge of this kidnapping case from here on. Let's retrieve Ms. Akiho and completely destroy the Foundation while we're at it."""
,,,,
Dialog.Chapter2-3-78,六花？,「――――！」,「――――！」,"""――――!"""
,,,,
Dialog.Chapter2-3-79,エレナ,「この忙しい時期に仕事が増えてしまいましたが…。しかたありません。」,「この忙しい時期に仕事が増えてしまいましたが…。しかたありません。」,"""I have more work to do at this busy time of the year..."" It can't be helped."""
,,,,
Dialog.Chapter2-3-80,,「―――これから緊急で聖月女学園生徒会を招集します。財団との戦いを終わらせましょう。」,「―――これから緊急で上位の聖核戦姫達を招集します。財団との戦いを終わらせましょう。」,"""―――I am now going to urgently convene the student council of Seigetsu School. Let's finish the fight against the Foundation."""
